0,1,2,3,4,5
timestamp,open,high,low,close,volume
2020-11-18 20:00:00,116.7900,116.7900,116.7700,116.7700,240
2020-11-18 19:30:00,116.7700,116.7700,116.7700,116.7700,101
2020-11-18 19:15:00,116.8000,116.8000,116.8000,116.8000,1009
2020-11-18 17:45:00,116.7000,116.7000,116.7000,116.7000,151
2020-11-18 17:35:00,116.7800,116.7800,116.7800,116.7800,340
2020-11-18 17:30:00,116.7800,116.7800,116.7800,116.7800,1018
2020-11-18 17:25:00,116.7800,116.7800,116.7800,116.7800,101
2020-11-18 17:10:00,116.7798,116.7798,116.7798,116.7798,110
2020-11-18 16:55:00,116.7800,116.7800,116.7800,116.7800,100
2020-11-18 16:50:00,116.7798,116.7798,116.5800,116.5800,1410
2020-11-18 16:35:00,116.7722,116.7798,116.7722,116.7798,1039
2020-11-18 16:30:00,116.7800,116.7800,116.7500,116.7500,359
2020-11-18 16:25:00,116.7600,116.7817,116.7600,116.7817,1281
2020-11-18 16:10:00,116.7600,116.8000,116.7579,116.7700,3520
2020-11-18 16:05:00,116.7700,117.1500,116.6300,116.7700,121493
2020-11-18 16:00:00,116.9800,117.0300,116.7500,116.7500,153371
2020-11-18 15:55:00,117.2600,117.2600,116.8300,116.9900,105680
2020-11-18 15:50:00,116.9700,117.2900,116.9300,117.1100,78774
2020-11-18 15:45:00,117.1400,117.1846,116.9703,116.9703,170430
2020-11-18 15:40:00,117.4800,117.5000,117.1250,117.1250,89961
2020-11-18 15:35:00,117.4200,117.5200,117.2700,117.4700,60236
2020-11-18 15:30:00,117.6100,117.6300,117.4100,117.4300,78338
2020-11-18 15:25:00,117.7100,117.7200,117.5900,117.6100,63239
2020-11-18 15:20:00,117.8700,117.9250,117.7200,117.7200,44532
2020-11-18 15:15:00,117.7100,118.0000,117.7100,117.8600,23644
2020-11-18 15:10:00,117.6100,117.7900,117.6100,117.6900,46960
2020-11-18 15:05:00,117.9800,117.9900,117.6250,117.6250,38026
2020-11-18 15:00:00,118.1350,118.1800,117.9900,117.9900,23233
2020-11-18 14:55:00,117.9700,118.1450,117.9700,118.1400,23773
2020-11-18 14:50:00,118.0500,118.0650,117.9400,117.9665,23047
2020-11-18 14:45:00,117.9900,118.0700,117.9200,118.0500,44997
2020-11-18 14:40:00,118.0000,118.0000,117.9050,117.9900,26054
2020-11-18 14:35:00,117.9400,118.0276,117.8250,118.0150,30116
2020-11-18 14:30:00,117.9300,117.9500,117.8400,117.9310,27296
2020-11-18 14:25:00,118.0100,118.1100,117.8700,117.8720,42908
2020-11-18 14:20:00,118.1150,118.1600,118.0000,118.0000,28678
2020-11-18 14:15:00,118.1800,118.1880,118.0700,118.0853,29908
2020-11-18 14:10:00,118.1800,118.2212,118.1640,118.1900,16214
2020-11-18 14:05:00,118.1500,118.2200,118.1300,118.1754,20310
2020-11-18 14:00:00,118.1400,118.1700,118.0100,118.1648,18833
2020-11-18 13:55:00,118.1300,118.1988,118.0500,118.1600,18184
2020-11-18 13:50:00,118.2800,118.3249,118.0800,118.1325,29708
2020-11-18 13:45:00,118.2922,118.3200,118.2300,118.2800,21075
2020-11-18 13:40:00,118.2199,118.3850,118.2199,118.3448,20672
2020-11-18 13:35:00,118.1600,118.2100,118.1200,118.1800,20836
2020-11-18 13:30:00,118.4000,118.4000,118.1600,118.1733,25239
2020-11-18 13:25:00,118.3400,118.4100,118.2900,118.4100,19567
2020-11-18 13:20:00,118.3350,118.4200,118.3101,118.3300,19154
2020-11-18 13:15:00,118.3700,118.3978,118.3000,118.3800,14682
2020-11-18 13:10:00,118.3600,118.4150,118.3000,118.3533,24454
2020-11-18 13:05:00,118.2800,118.3742,118.2387,118.3600,15249
2020-11-18 13:00:00,118.4400,118.4800,118.2500,118.3000,29232
2020-11-18 12:55:00,118.4419,118.5240,118.3900,118.4393,24616
2020-11-18 12:50:00,118.6700,118.6700,118.4226,118.4478,22869
2020-11-18 12:45:00,118.5400,118.7300,118.5400,118.6690,57788
2020-11-18 12:40:00,118.4253,118.6000,118.3650,118.5500,92294
2020-11-18 12:35:00,118.4500,118.4600,118.2838,118.4199,27871
2020-11-18 12:30:00,118.4800,118.4800,118.3800,118.4600,39948
2020-11-18 12:25:00,118.5300,118.5398,118.4500,118.4900,21600
2020-11-18 12:20:00,118.6300,118.6300,118.4900,118.5200,25171
2020-11-18 12:15:00,118.5400,118.6300,118.5100,118.6300,41657
2020-11-18 12:10:00,118.6300,118.6900,118.5500,118.5500,57176
2020-11-18 12:05:00,118.6700,118.7000,118.5454,118.6250,29824
2020-11-18 12:00:00,118.5321,118.7000,118.5300,118.6799,26466
2020-11-18 11:55:00,118.4200,118.5800,118.4200,118.5350,27193
2020-11-18 11:50:00,118.4672,118.5713,118.4100,118.4482,25473
2020-11-18 11:45:00,118.5300,118.5300,118.3200,118.4373,28996
2020-11-18 11:40:00,118.4200,118.5600,118.4200,118.5300,21944
2020-11-18 11:35:00,118.5000,118.5000,118.4100,118.4100,22988
2020-11-18 11:30:00,118.6760,118.6999,118.4600,118.5100,32586
2020-11-18 11:25:00,118.7401,118.8000,118.6300,118.6700,23914
2020-11-18 11:20:00,118.8114,118.8400,118.6800,118.7599,30969
2020-11-18 11:15:00,118.8400,118.8800,118.7401,118.8200,30561
2020-11-18 11:10:00,118.7600,118.8799,118.7400,118.8400,29722
2020-11-18 11:05:00,118.6100,118.7600,118.6100,118.7600,35083
2020-11-18 11:00:00,118.6325,118.6700,118.5000,118.6000,43615
2020-11-18 10:55:00,118.4400,118.7000,118.4199,118.6300,31396
2020-11-18 10:50:00,118.5400,118.5400,118.2800,118.4400,42576
2020-11-18 10:45:00,118.6951,118.7900,118.5400,118.5400,30244
2020-11-18 10:40:00,118.7605,118.8400,118.6200,118.7300,62433
2020-11-18 10:35:00,118.4800,118.8000,118.4800,118.7778,60717
2020-11-18 10:30:00,118.4200,118.5800,118.3900,118.4700,51251
2020-11-18 10:25:00,118.2950,118.4879,118.2200,118.4300,32614
2020-11-18 10:20:00,118.4700,118.5000,118.2756,118.3000,43185
2020-11-18 10:15:00,118.5000,118.5800,118.3900,118.4900,55414
2020-11-18 10:10:00,118.4300,118.5300,118.3131,118.4900,44820
2020-11-18 10:05:00,118.1300,118.3800,118.1150,118.3750,39909
2020-11-18 10:00:00,118.0900,118.4400,118.0900,118.1250,56591
2020-11-18 09:55:00,118.1200,118.1800,117.9992,118.1000,57041
2020-11-18 09:50:00,118.1900,118.3200,118.0400,118.1400,48728
2020-11-18 09:45:00,117.5300,118.2300,117.5300,118.1631,71405
2020-11-18 09:40:00,117.3200,117.5200,117.2300,117.4950,77318
2020-11-18 09:35:00,117.7200,117.8900,117.2600,117.3200,273653
2020-11-18 09:30:00,118.1500,118.1500,117.7100,117.7100,1366
2020-11-18 09:20:00,117.8800,117.8800,117.7900,117.7900,1100
2020-11-18 09:15:00,118.0000,118.0500,117.8200,117.8200,1984
2020-11-18 09:10:00,118.2500,118.2500,118.1900,118.2400,1000
2020-11-18 09:05:00,118.2480,118.2480,118.2480,118.2480,103
2020-11-18 09:00:00,117.9100,117.9100,117.8800,117.8800,1967
2020-11-18 08:55:00,118.0100,118.0100,118.0100,118.0100,221
