order_type,ticker,size,price_filled,route,time_filled
Buy,NKLA,50,39.95,SMAT,9:32:18
Sell,NKLA,5,40.14,SMAT,9:32:34
Sell,NKLA,45,40.25,SMAT,9:32:49
Buy,NKLA,50,38.67,SMAT,9:52:04
Sell,NKLA,5,38.7,SMAT,9:52:30
Sell,NKLA,11,38.7,SMAT,9:52:37
Sell,NKLA,8,38.81,SMAT,9:53:10
Sell,NKLA,6,38.86,SMAT,9:53:33
Sell,NKLA,5,39.01,SMAT,9:54:02
Sell,NKLA,15,39.11,SMAT,9:54:07
Buy,NKLA,50,39.23,SMAT,9:54:37
Sell,NKLA,5,39.37,SMAT,9:54:47
Sell,NKLA,4,39.45,SMAT,9:55:01
Sell,NKLA,41,39.02,SMAT,9:55:36
Buy,NKLA,50,39.65,SMAT,9:56:25
Sell,NKLA,50,39.02,SMAT,9:57:30
Buy,NKLA,50,39.26,SMAT,10:00:51
Sell,NKLA,5,39.31,SMAT,10:01:51
Sell,NKLA,4,39.33,SMAT,10:02:21
Sell,NKLA,10,39.36,SMAT,10:02:36
Sell,NKLA,7,39.37,SMAT,10:02:48
Sell,NKLA,24,39.41,SMAT,10:02:51
Buy,NKLA,50,39.89,SMAT,10:04:24
Sell,NKLA,5,39.93,SMAT,10:05:37
Sell,NKLA,11,40,SMAT,10:05:39
Sell,NKLA,8,40,SMAT,10:05:42
Sell,NKLA,6,40.03,SMAT,10:05:46
Sell,NKLA,20,40.39,SMAT,10:06:04
Buy,NKLA,50,40.69,SMAT,10:06:23
Sell,NKLA,5,40.81,SMAT,10:06:35
Sell,NKLA,11,40.9,SMAT,10:06:40
Sell,NKLA,34,40.79,SMAT,10:06:52
Buy,NKLA,50,40,SMAT,10:11:13
Sell,NKLA,5,40.05,SMAT,10:11:39
Sell,NKLA,4,40.05,SMAT,10:12:25
Sell,NKLA,4,39.93,SMAT,10:14:02
Sell,NKLA,37,39.92,SMAT,10:14:42
Buy,NKLA,50,40.2,SMAT,10:17:41
Sell,NKLA,5,40.27,SMAT,10:18:06
Sell,NKLA,11,40.31,SMAT,10:18:12
Sell,NKLA,34,40.34,SMAT,10:18:16
Buy,NKLA,50,40.74,SMAT,10:19:06
Sell,NKLA,5,40.77,SMAT,10:19:13
Sell,NKLA,45,40.5,SMAT,10:19:45
Buy,NKLA,50,40.66,SMAT,10:20:33
Sell,NKLA,50,40.11,SMAT,10:24:28
Buy,NKLA,50,39.87,SMAT,10:33:28
Sell,NKLA,5,39.9,SMAT,10:34:15
Sell,NKLA,11,40.1,SMAT,10:39:26
Sell,NKLA,3,40.08,SMAT,10:39:30
Sell,NKLA,3,40.04,SMAT,10:39:45
Sell,NKLA,28,39.35,SMAT,10:43:46
Buy,NKLA,50,39.32,SMAT,10:45:38
Sell,NKLA,50,39.02,SMAT,10:46:42
Buy,NKLA,50,39.54,SMAT,10:50:17
Sell,NKLA,50,39.27,SMAT,10:50:31
Buy,NKLA,50,39.66,SMAT,10:52:33
Sell,NKLA,12,39.71,SMAT,10:52:48
Sell,NKLA,38,39.72,SMAT,10:53:00
Buy,NKLA,50,39.78,SMAT,10:54:47
Sell,NKLA,5,39.82,SMAT,10:55:18
Sell,NKLA,4,39.82,SMAT,10:55:51
Sell,NKLA,10,39.89,SMAT,10:56:38
Sell,NKLA,7,39.84,SMAT,10:57:02
Sell,NKLA,24,39.81,SMAT,10:57:23
Buy,NKLA,50,39.19,SMAT,11:12:37
Sell,NKLA,5,39.23,SMAT,11:16:10
Sell,NKLA,4,39.26,SMAT,11:16:16
Sell,NKLA,4,39.35,SMAT,11:16:28
Sell,NKLA,9,39.35,SMAT,11:16:32
Sell,NKLA,7,39.45,SMAT,11:16:41
Sell,NKLA,21,39.39,SMAT,11:16:54
Buy,NKLA,50,38.98,SMAT,11:22:06
Sell,NKLA,5,38.97,SMAT,11:23:24
Sell,NKLA,45,38.84,SMAT,11:26:34
Buy,NKLA,50,39.75,SMAT,11:38:43
Sell,NKLA,50,39.74,SMAT,11:39:05
Buy,NKLA,50,39.83,SMAT,11:39:56
Sell,NKLA,50,39.46,SMAT,11:43:07
