order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,NKLA,50,39.95,SMAT,09:32:18,0.0,-72.85,-111.85,20
Sell,NKLA,5,40.14,SMAT,09:32:34,0.95,0.0,0.0,0
Sell,NKLA,45,40.25,SMAT,09:32:49,13.5,0.0,0.0,0
Buy,NKLA,50,38.67,SMAT,09:52:04,0.0,0.0,0.0,0
Sell,NKLA,5,38.7,SMAT,09:52:30,0.15,0.0,0.0,0
Sell,NKLA,11,38.7,SMAT,09:52:37,0.33,0.0,0.0,0
Sell,NKLA,8,38.81,SMAT,09:53:10,1.12,0.0,0.0,0
Sell,NKLA,6,38.86,SMAT,09:53:33,1.14,0.0,0.0,0
Sell,NKLA,5,39.01,SMAT,09:54:02,1.7,0.0,0.0,0
Sell,NKLA,15,39.11,SMAT,09:54:07,6.6,0.0,0.0,0
Buy,NKLA,50,39.23,SMAT,09:54:37,0.0,0.0,0.0,0
Sell,NKLA,5,39.37,SMAT,09:54:47,0.7,0.0,0.0,0
Sell,NKLA,4,39.45,SMAT,09:55:01,0.88,0.0,0.0,0
Sell,NKLA,41,39.02,SMAT,09:55:36,-8.61,0.0,0.0,0
Buy,NKLA,50,39.65,SMAT,09:56:25,0.0,0.0,0.0,0
Sell,NKLA,50,39.02,SMAT,09:57:30,-31.5,0.0,0.0,0
Buy,NKLA,50,39.26,SMAT,10:00:51,0.0,0.0,0.0,0
Sell,NKLA,5,39.31,SMAT,10:01:51,0.25,0.0,0.0,0
Sell,NKLA,4,39.33,SMAT,10:02:21,0.28,0.0,0.0,0
Sell,NKLA,10,39.36,SMAT,10:02:36,1.0,0.0,0.0,0
Sell,NKLA,7,39.37,SMAT,10:02:48,0.77,0.0,0.0,0
Sell,NKLA,24,39.41,SMAT,10:02:51,3.6,0.0,0.0,0
Buy,NKLA,50,39.89,SMAT,10:04:24,0.0,0.0,0.0,0
Sell,NKLA,5,39.93,SMAT,10:05:37,0.2,0.0,0.0,0
