order_type,ticker,size,price_filled,route,time_filled,,,,,,,,
Sell,BNTX,50,97.33,SMAT,10:38:49,,,,,,,,
Buy,BNTX,50,97.79,SMAT,10:38:11,,,,,,,,
Buy,BNTX,50,97.72,SMAT,10:36:32,,,,,,,,
Shrt,BNTX,50,97.38,SMAT,10:36:07,,,,,,,,
Buy,BNTX,50,97.46,SMAT,10:35:23,,,,,,,,
Shrt,BNTX,50,96.65,SMAT,10:35:12,,,,,,,,
Sell,INO,13,25.73,SMAT,10:34:15,,,,,,,,
Sell,INO,4,25.77,SMAT,10:34:04,,,,,,,,
Sell,INO,1,25.82,SMAT,10:33:32,,,,,,,,
Sell,INO,2,25.8,SMAT,10:33:27,,,,,,,,
Sell,INO,6,25.79,SMAT,10:33:14,,,,,,,,
Sell,INO,2,25.81,SMAT,10:33:13,,,,,,,,
Sell,INO,3,25.78,SMAT,10:33:06,,,,,,,,
Sell,INO,10,25.79,SMAT,10:32:09,,,,,,,,
Sell,INO,4,25.77,SMAT,10:32:04,,,,,,,,
Sell,INO,5,25.71,SMAT,10:31:38,,,,,,,,
Buy,INO,50,25.71,SMAT,10:30:36,,,,,,,,
Sell,INO,31,25.71,SMAT,10:29:28,,,,,,,,
Sell,INO,10,25.8,SMAT,10:29:11,,,,,,,,
Sell,INO,4,25.8,SMAT,10:29:10,,,,,,,,
Sell,INO,5,25.77,SMAT,10:29:08,,,,,,,,
Buy,INO,50,25.75,SMAT,10:28:58,,,,,,,,
Sell,INO,45,25.68,SMAT,10:28:36,,,,,,,,
Sell,INO,5,25.69,SMAT,10:28:27,,,,,,,,
Buy,INO,50,25.69,SMAT,10:28:16,,,,,,,,
Sell,INO,37,25.57,SMAT,10:24:34,,,,,,,,
Sell,INO,4,25.66,SMAT,10:24:16,,,,,,,,
Sell,INO,4,25.62,SMAT,10:24:14,,,,,,,,
Sell,INO,5,25.6,SMAT,10:23:59,,,,,,,,
Buy,INO,50,25.58,SMAT,10:23:38,,,,,,,,
Buy,INO,50,25.53,SMAT,10:23:00,,,,,,,,
Shrt,INO,50,25.48,SMAT,10:21:32,,,,,,,,
Sell,INO,50,25.5,SMAT,10:21:26,,,,,,,,
Buy,INO,50,25.64,SMAT,10:20:21,,,,,,,,
Sell,BNTX,18,99.71,SMAT,10:17:04,,,,,,,,
Sell,BNTX,2,99.72,SMAT,10:16:48,,,,,,,,
Sell,BNTX,2,99.73,SMAT,10:16:42,,,,,,,,
Sell,BNTX,2,99.73,SMAT,10:16:31,,,,,,,,
Sell,BNTX,7,99.82,SMAT,10:16:26,,,,,,,,
Sell,BNTX,10,99.8,SMAT,10:16:23,,,,,,,,
Sell,BNTX,4,99.65,SMAT,10:16:19,,,,,,,,
Sell,BNTX,5,99.56,SMAT,10:16:16,,,,,,,,
Buy,BNTX,50,99.45,SMAT,10:15:25,,,,,,,,
Sell,BNTX,12,99.01,SMAT,10:14:02,,,,,,,,
Sell,BNTX,3,99.31,SMAT,10:13:50,,,,,,,,
Sell,BNTX,1,99.22,SMAT,10:13:46,,,,,,,,
Sell,BNTX,5,99.28,SMAT,10:13:43,,,,,,,,
Sell,BNTX,7,98.9,SMAT,10:13:39,,,,,,,,
Sell,BNTX,3,98.76,SMAT,10:13:36,,,,,,,,
Sell,BNTX,3,98.8,SMAT,10:13:28,,,,,,,,
Sell,BNTX,11,98.73,SMAT,10:13:24,,,,,,,,
Sell,BNTX,5,98.71,SMAT,10:13:17,,,,,,,,
Buy,BNTX,50,98.72,SMAT,10:13:03,,,,,,,,
Buy,BNTX,41,98.64,SMAT,10:12:47,,,,,,,,
Buy,BNTX,4,98.5,SMAT,10:12:31,,,,,,,,
Buy,BNTX,5,98.56,SMAT,10:12:13,,,,,,,,
Shrt,BNTX,50,98.51,SMAT,10:12:05,,,,,,,,
Sell,BNTX,9,97.72,SMAT,10:11:18,,,,,,,,
Sell,BNTX,1,97.88,SMAT,10:11:13,,,,,,,,
Sell,BNTX,3,97.82,SMAT,10:11:09,,,,,,,,
Sell,BNTX,4,97.74,SMAT,10:11:03,,,,,,,,
Sell,BNTX,1,97.73,SMAT,10:11:00,,,,,,,,
Sell,BNTX,6,97.77,SMAT,10:10:54,,,,,,,,
Sell,BNTX,7,97.76,SMAT,10:10:52,,,,,,,,
Sell,BNTX,3,97.63,SMAT,10:10:50,,,,,,,,
Sell,BNTX,11,97.62,SMAT,10:10:48,,,,,,,,
Sell,BNTX,5,97.54,SMAT,10:10:46,,,,,,,,
Buy,BNTX,50,97.47,SMAT,10:10:22,,,,,,,,
Sell,AUPH,50,16.01,SMAT,10:09:44,,,,,,,,
Buy,AUPH,50,16.04,SMAT,10:09:22,,,,,,,,
Sell,BNTX,14,97.14,SMAT,10:07:31,,,,,,,,
Sell,BNTX,1,97.39,SMAT,10:07:20,,,,,,,,
Sell,BNTX,1,97.3,SMAT,10:07:12,,,,,,,,
Sell,BNTX,5,97.22,SMAT,10:06:59,,,,,,,,
Sell,BNTX,7,97.2,SMAT,10:06:46,,,,,,,,
Sell,BNTX,3,97.4,SMAT,10:06:39,,,,,,,,
Sell,BNTX,3,97.19,SMAT,10:06:37,,,,,,,,
Sell,BNTX,11,97.09,SMAT,10:06:35,,,,,,,,
Sell,BNTX,5,97.01,SMAT,10:06:19,,,,,,,,
Buy,BNTX,50,97,SMAT,10:06:09,,,,,,,,
Sell,BNTX,50,96.31,SMAT,10:04:04,,,,,,,,
Buy,BNTX,50,96.88,SMAT,10:03:23,,,,,,,,
Sell,BNTX,38,96.28,SMAT,10:03:13,,,,,,,,
Sell,BNTX,12,96.28,SMAT,10:03:04,,,,,,,,
Buy,BNTX,50,96.45,SMAT,10:02:58,,,,,,,,
Sell,BNTX,7,95.76,SMAT,10:02:24,,,,,,,,
Sell,BNTX,2,95.86,SMAT,10:02:20,,,,,,,,
Sell,BNTX,2,95.63,SMAT,10:02:15,,,,,,,,
Sell,BNTX,1,95.6,SMAT,10:02:11,,,,,,,,
Sell,BNTX,1,95.6,SMAT,10:01:59,,,,,,,,
Sell,BNTX,4,95.68,SMAT,10:01:35,,,,,,,,
Sell,BNTX,5,95.57,SMAT,10:01:29,,,,,,,,
Sell,BNTX,7,95.54,SMAT,10:01:23,,,,,,,,
Sell,BNTX,9,95.54,SMAT,10:01:21,,,,,,,,
Sell,BNTX,12,95.53,SMAT,10:01:20,,,,,,,,
Buy,BNTX,50,95.48,SMAT,10:00:17,,,,,,,,
Sell,AUPH,50,15.99,SMAT,9:56:36,,,,,,,,
Buy,AUPH,50,16.05,SMAT,9:56:01,,,,,,,,
Buy,AUPH,45,16.01,SMAT,9:53:23,,,,,,,,
Buy,AUPH,5,15.94,SMAT,9:52:11,,,,,,,,
Shrt,AUPH,50,15.95,SMAT,9:51:56,,,,,,,,
Sell,AUPH,38,16,SMAT,9:49:30,,,,,,,,
Sell,AUPH,12,16.08,SMAT,9:48:30,,,,,,,,
Buy,AUPH,50,16.11,SMAT,9:48:19,,,,,,,,
Buy,AUPH,45,16.04,SMAT,9:48:14,,,,,,,,
Buy,AUPH,5,16.01,SMAT,9:47:39,,,,,,,,
Shrt,AUPH,50,16.01,SMAT,9:46:44,,,,,,,,
Sell,AUPH,11,16.03,SMAT,9:44:37,,,,,,,,
Sell,AUPH,1,16.08,SMAT,9:44:33,,,,,,,,
Sell,AUPH,3,16.08,SMAT,9:44:28,,,,,,,,
Sell,AUPH,5,16.09,SMAT,9:44:20,,,,,,,,
Sell,AUPH,6,16.09,SMAT,9:44:13,,,,,,,,
Sell,AUPH,8,16.07,SMAT,9:44:09,,,,,,,,
Sell,AUPH,11,16.06,SMAT,9:44:05,,,,,,,,
Sell,AUPH,5,16.04,SMAT,9:43:52,,,,,,,,
Buy,AUPH,50,16.03,SMAT,9:42:08,,,,,,,,
Sell,AUPH,35,15.9,SMAT,9:41:24,,,,,,,,
Sell,AUPH,3,16.02,SMAT,9:40:37,,,,,,,,
Sell,AUPH,12,15.96,SMAT,9:40:31,,,,,,,,
Buy,AUPH,50,15.97,SMAT,9:40:04,,,,,,,,
Buy,AUPH,50,15.84,SMAT,9:39:35,,,,,,,,
Shrt,AUPH,50,15.74,SMAT,9:39:07,,,,,,,,
Sell,AUPH,50,15.81,SMAT,9:38:45,,,,,,,,
Buy,AUPH,50,15.75,SMAT,9:38:35,,,,,,,,
,,,,,,,,Buy,PFE,100,38.43,SMAT,9:37:20
,,,,,,,,Shrt,PFE,50,38.32,SMAT,9:36:21
,,,,,,,,Shrt,PFE,50,38.11,SMAT,9:34:15
Sell,AUPH,50,15.34,SMAT,9:33:37,,,,,,,,
Buy,AUPH,50,15.48,SMAT,9:32:39,,,,,,,,
Buy,AUPH,50,15.39,SMAT,9:30:57,,,,,,,,
Shrt,AUPH,50,15.15,SMAT,9:30:10,,,,,,,,
