Event,B/S,Symb,Shares,Price,Route,Time,Account,Note,
Execute,Buy,AMD,45,66.41,SMAT,09:46:34,TRP202239,,
Accept,Buy,AMD,45,66.43,SMAT,09:46:34,TRP202239,,
Sending,Buy,AMD,45,66.43,SMAT,09:46:34,TRP202239,,
Execute,Buy,AMD,5,66.3,SMAT,09:46:21,TRP202239,,
Accept,Buy,AMD,5,66.33,SMAT,09:46:21,TRP202239,,
Sending,Buy,AMD,5,66.33,SMAT,09:46:21,TRP202239,,
Execute,Shrt,AMD,50,66.4,SMAT,09:46:07,TRP202239,,
Accept,Shrt,AMD,50,66.38,SMAT,09:46:07,TRP202239,,
Sending,Shrt,AMD,50,66.38,SMAT,09:46:07,TRP202239,,
Execute,Sell,AMD,50,66.71,SMAT,09:45:02,TRP202239,,
Accept,Sell,AMD,50,66.68,SMAT,09:45:02,TRP202239,,
Sending,Sell,AMD,50,66.68,SMAT,09:45:02,TRP202239,,
Execute,Buy,AMD,50,66.91,SMAT,09:44:23,TRP202239,,
Accept,Buy,AMD,50,66.94,SMAT,09:44:23,TRP202239,,
Sending,Buy,AMD,50,66.94,SMAT,09:44:23,TRP202239,,
Execute,Sell,ABUS,34,8.06,SMAT,09:43:28,TRP202239,,
Accept,Sell,ABUS,34,8.03,SMAT,09:43:28,TRP202239,,
Sending,Sell,ABUS,34,8.03,SMAT,09:43:28,TRP202239,,
Execute,Sell,ABUS,11,8.28,SMAT,09:42:01,TRP202239,,
Accept,Sell,ABUS,11,8.26,SMAT,09:42:01,TRP202239,,
Sending,Sell,ABUS,11,8.26,SMAT,09:42:01,TRP202239,,
Execute,Sell,ABUS,5,8.28,SMAT,09:41:42,TRP202239,,
Accept,Sell,ABUS,5,8.25,SMAT,09:41:42,TRP202239,,
Sending,Sell,ABUS,5,8.25,SMAT,09:41:42,TRP202239,,
Execute,Buy,ABUS,50,8.18,SMAT,09:41:21,TRP202239,,
Accept,Buy,ABUS,50,8.21,SMAT,09:41:21,TRP202239,,
Sending,Buy,ABUS,50,8.21,SMAT,09:41:21,TRP202239,,
Execute,Buy,AMD,34,65.81,SMAT,09:38:51,TRP202239,,
Accept,Buy,AMD,34,65.86,SMAT,09:38:51,TRP202239,,
Sending,Buy,AMD,34,65.86,SMAT,09:38:51,TRP202239,,
Execute,Buy,AMD,3,65.81,SMAT,09:38:46,TRP202239,,
Accept,Buy,AMD,3,65.84,SMAT,09:38:46,TRP202239,,
Sending,Buy,AMD,3,65.84,SMAT,09:38:46,TRP202239,,
Execute,Buy,AMD,4,65.9,SMAT,09:38:40,TRP202239,,
Accept,Buy,AMD,4,65.93,SMAT,09:38:40,TRP202239,,
Sending,Buy,AMD,4,65.93,SMAT,09:38:40,TRP202239,,
Execute,Buy,AMD,4,66.01,SMAT,09:38:31,TRP202239,,
Accept,Buy,AMD,4,66.04,SMAT,09:38:31,TRP202239,,
Sending,Buy,AMD,4,66.04,SMAT,09:38:31,TRP202239,,
Execute,Buy,AMD,5,66.07,SMAT,09:38:20,TRP202239,,
Accept,Buy,AMD,5,66.1,SMAT,09:38:20,TRP202239,,
Sending,Buy,AMD,5,66.1,SMAT,09:38:20,TRP202239,,
Execute,Shrt,AMD,50,66.24,SMAT,09:38:15,TRP202239,,
Accept,Shrt,AMD,50,66.24,SMAT,09:38:15,TRP202239,,
Sending,Shrt,AMD,50,66.24,SMAT,09:38:15,TRP202239,,
Execute,Buy,ABUS,37,8.22,SMAT,09:37:01,TRP202239,,
Accept,Buy,ABUS,37,8.23,SMAT,09:37:01,TRP202239,,
Sending,Buy,ABUS,37,8.23,SMAT,09:37:01,TRP202239,,
Execute,Buy,ABUS,4,8.14,SMAT,09:36:57,TRP202239,,
Accept,Buy,ABUS,4,8.18,SMAT,09:36:57,TRP202239,,
Sending,Buy,ABUS,4,8.18,SMAT,09:36:57,TRP202239,,
Execute,Buy,ABUS,4,8.3,SMAT,09:36:46,TRP202239,,
Accept,Buy,ABUS,4,8.33,SMAT,09:36:46,TRP202239,,
Sending,Buy,ABUS,4,8.33,SMAT,09:36:46,TRP202239,,
Execute,Buy,ABUS,5,8.4,SMAT,09:36:19,TRP202239,,
Accept,Buy,ABUS,5,8.41,SMAT,09:36:19,TRP202239,,
Sending,Buy,ABUS,5,8.41,SMAT,09:36:19,TRP202239,,
Execute,Shrt,ABUS,50,8.52,SMAT,09:35:55,TRP202239,,
Accept,Shrt,ABUS,50,8.49,SMAT,09:35:55,TRP202239,,
Sending,Shrt,ABUS,50,8.49,SMAT,09:35:55,TRP202239,,
Execute,Sell,ABUS,50,8.23,SMAT,09:30:09,TRP202239,,
Accept,Sell,ABUS,50,8.17,SMAT,09:30:09,TRP202239,,
Sending,Sell,ABUS,50,8.17,SMAT,09:30:09,TRP202239,,
Execute,Buy,ABUS,50,7.97,SMAT,09:30:00,TRP202239,,
Accept,Buy,ABUS,50,8,SMAT,09:30:00,TRP202239,,
Sending,Buy,ABUS,50,8,SMAT,09:30:00,TRP202239,,
