Event,B/S,Symb,Shares,Price,Route,Time,Account,Note
Execute,Buy,IMUX,100,22.45,SMAT,9:33:11,TRP204102,
Accept,Buy,IMUX,100,22.48,SMAT,9:33:11,TRP204102,
Sending,Buy,IMUX,100,22.48,SMAT,9:33:11,TRP204102,
Execute,Sell,IMUX,25,22.39,SMAT,9:33:40,TRP204102,
Accept,Sell,IMUX,25,22.36,SMAT,9:33:40,TRP204102,
Sending,Sell,IMUX,25,22.36,SMAT,9:33:40,TRP204102,
Execute,Sell,IMUX,18,22.52,SMAT,9:34:02,TRP204102,
Accept,Sell,IMUX,18,22.49,SMAT,9:34:02,TRP204102,
Sending,Sell,IMUX,18,22.49,SMAT,9:34:02,TRP204102,
Execute,Sell,IMUX,57,22.58,SMAT,9:34:04,TRP204102,
Accept,Sell,IMUX,57,22.55,SMAT,9:34:04,TRP204102,
Sending,Sell,IMUX,57,22.55,SMAT,9:34:04,TRP204102,
Execute,Shrt,NKLA,100,31.02,SMAT,9:38:48,TRP204102,
Accept,Shrt,NKLA,100,30.99,SMAT,9:38:48,TRP204102,
Sending,Shrt,NKLA,100,30.99,SMAT,9:38:48,TRP204102,
Execute,Buy,NKLA,25,30.98,SMAT,9:39:27,TRP204102,
Accept,Buy,NKLA,25,31.01,SMAT,9:39:27,TRP204102,
Sending,Buy,NKLA,25,31.01,SMAT,9:39:27,TRP204102,
Execute,Buy,NKLA,37,30.95,SMAT,9:41:15,TRP204102,
Accept,Buy,NKLA,37,30.98,SMAT,9:41:15,TRP204102,
Sending,Buy,NKLA,37,30.98,SMAT,9:41:15,TRP204102,
Execute,Buy,NKLA,38,30.96,SMAT,9:41:59,TRP204102,
Accept,Buy,NKLA,38,30.99,SMAT,9:41:59,TRP204102,
Sending,Buy,NKLA,38,30.99,SMAT,9:41:59,TRP204102,
Execute,Buy,NKLA,100,31.22,SMAT,9:43:16,TRP204102,
Accept,Buy,NKLA,100,31.25,SMAT,9:43:16,TRP204102,
Sending,Buy,NKLA,100,31.25,SMAT,9:43:16,TRP204102,
Execute,Sell,NKLA,100,31.09,SMAT,9:43:33,TRP204102,
Accept,Sell,NKLA,100,31.06,SMAT,9:43:33,TRP204102,
Sending,Sell,NKLA,100,31.06,SMAT,9:43:33,TRP204102,
Execute,Buy,NKLA,100,31.23,SMAT,9:44:13,TRP204102,
Accept,Buy,NKLA,100,31.26,SMAT,9:44:13,TRP204102,
Sending,Buy,NKLA,100,31.26,SMAT,9:44:13,TRP204102,
Execute,Sell,NKLA,100,31.12,SMAT,9:45:18,TRP204102,
Accept,Sell,NKLA,100,31.09,SMAT,9:45:18,TRP204102,
Sending,Sell,NKLA,100,31.09,SMAT,9:45:18,TRP204102,
Execute,Shrt,NKLA,100,31.01,SMAT,9:46:52,TRP204102,
Accept,Shrt,NKLA,100,30.98,SMAT,9:46:52,TRP204102,
Sending,Shrt,NKLA,100,30.98,SMAT,9:46:52,TRP204102,
Execute,Buy,NKLA,100,31.12,SMAT,9:48:17,TRP204102,
Accept,Buy,NKLA,100,31.13,SMAT,9:48:17,TRP204102,
Sending,Buy,NKLA,100,31.13,SMAT,9:48:17,TRP204102,
Execute,Buy,NKLA,100,31.24,SMAT,9:49:06,TRP204102,
Accept,Buy,NKLA,100,31.27,SMAT,9:49:06,TRP204102,
Sending,Buy,NKLA,100,31.27,SMAT,9:49:06,TRP204102,
Execute,Sell,NKLA,25,31.25,SMAT,9:49:38,TRP204102,
Accept,Sell,NKLA,25,31.22,SMAT,9:49:38,TRP204102,
Sending,Sell,NKLA,25,31.22,SMAT,9:49:38,TRP204102,
Execute,Sell,NKLA,18,31.29,SMAT,9:50:00,TRP204102,
Accept,Sell,NKLA,18,31.26,SMAT,9:50:00,TRP204102,
Sending,Sell,NKLA,18,31.26,SMAT,9:50:00,TRP204102,
Execute,Sell,NKLA,57,31.28,SMAT,9:51:39,TRP204102,
Accept,Sell,NKLA,57,31.25,SMAT,9:51:39,TRP204102,
Sending,Sell,NKLA,57,31.25,SMAT,9:51:39,TRP204102,
Execute,Shrt,NKLA,100,31.21,SMAT,9:54:12,TRP204102,
Accept,Shrt,NKLA,100,31.18,SMAT,9:54:12,TRP204102,
Sending,Shrt,NKLA,100,31.18,SMAT,9:54:12,TRP204102,
Execute,Buy,NKLA,100,31.3,SMAT,9:55:52,TRP204102,
Accept,Buy,NKLA,100,31.33,SMAT,9:55:52,TRP204102,
Sending,Buy,NKLA,100,31.33,SMAT,9:55:52,TRP204102,
Execute,Buy,CODX,100,27.92,SMAT,9:59:12,TRP204102,
Accept,Buy,CODX,100,27.95,SMAT,9:59:12,TRP204102,
Sending,Buy,CODX,100,27.95,SMAT,9:59:12,TRP204102,
Execute,Sell,CODX,100,27.65,SMAT,9:59:59,TRP204102,
Accept,Sell,CODX,100,27.62,SMAT,9:59:59,TRP204102,
Sending,Sell,CODX,100,27.62,SMAT,9:59:59,TRP204102,
