order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,AAL,50,12.96,SMAT,09:31:39,0.0,0.11000000000000121,-16.89,14
Sell,AAL,50,12.85,SMAT,09:31:56,-5.5,0.0,0.0,0
Buy,AAL,50,12.9,SMAT,09:33:08,0.0,0.0,0.0,0
Sell,AAL,50,12.8,SMAT,09:35:39,-5.0,0.0,0.0,0
Sell,AAL,50,12.76,SMAT,09:35:45,0.0,0.0,0.0,0
Buy,AAL,12,12.67,SMAT,09:36:11,1.08,0.0,0.0,0
Buy,AAL,9,12.59,SMAT,09:36:28,1.53,0.0,0.0,0
Buy,AAL,29,12.63,SMAT,09:36:48,3.77,0.0,0.0,0
Buy,AAL,50,12.63,SMAT,09:39:02,0.0,0.0,0.0,0
Sell,AAL,50,12.49,SMAT,09:41:26,-7.0,0.0,0.0,0
Buy,AAL,50,12.69,SMAT,09:45:22,0.0,0.0,0.0,0
Sell,AAL,25,12.78,SMAT,09:47:14,2.25,0.0,0.0,0
Sell,AAL,25,12.77,SMAT,09:48:12,2.0,0.0,0.0,0
Sell,AAL,50,12.71,SMAT,09:50:39,0.0,0.0,0.0,0
Buy,AAL,50,12.73,SMAT,09:54:25,-1.0,0.0,0.0,0
Buy,AAL,50,12.76,SMAT,10:00:23,0.0,0.0,0.0,0
Sell,AAL,12,12.87,SMAT,10:02:30,1.32,0.0,0.0,0
Sell,AAL,9,12.94,SMAT,10:03:37,1.62,0.0,0.0,0
Sell,AAL,29,12.88,SMAT,10:04:12,3.48,0.0,0.0,0
Sell,AAL,50,12.84,SMAT,10:05:42,0.0,0.0,0.0,0
Buy,AAL,50,12.89,SMAT,10:07:44,-2.5,0.0,0.0,0
Buy,AAL,50,12.94,SMAT,10:08:15,0.0,0.0,0.0,0
Sell,AAL,50,12.93,SMAT,10:12:07,-0.5,0.0,0.0,0
Buy,AAL,50,13.0,SMAT,10:13:00,0.0,0.0,0.0,0
Sell,AAL,50,12.95,SMAT,10:19:15,-2.5,0.0,0.0,0
Buy,AAL,50,12.99,SMAT,10:28:05,0.0,0.0,0.0,0
Sell,AAL,12,13.05,SMAT,10:30:51,0.72,0.0,0.0,0
Sell,AAL,19,13.14,SMAT,10:32:45,2.85,0.0,0.0,0
Sell,AAL,19,13.2,SMAT,10:34:14,3.99,0.0,0.0,0
Sell,AAL,50,13.14,SMAT,10:37:40,0.0,0.0,0.0,0
Buy,AAL,50,13.04,SMAT,10:39:50,5.0,0.0,0.0,0
Buy,AAL,50,13.06,SMAT,10:46:24,0.0,0.0,0.0,0
Sell,AAL,50,13.01,SMAT,10:50:14,-2.5,0.0,0.0,0
Sell,AAL,50,12.79,SMAT,11:05:58,0.0,0.0,0.0,0
Buy,AAL,50,12.85,SMAT,11:10:17,-3.0,0.0,0.0,0
