order_type,ticker,size,price_filled,route,time_filled,,0.11
Buy,AAL,50,12.96,SMAT,9:31:39,0,
Sell,AAL,50,12.85,SMAT,9:31:56,-5.5,
Buy,AAL,50,12.9,SMAT,9:33:08,0,
Sell,AAL,50,12.8,SMAT,9:35:39,-5,
Shrt,AAL,50,12.76,SMAT,9:35:45,0,
Buy,AAL,12,12.67,SMAT,9:36:11,1.08,
Buy,AAL,9,12.59,SMAT,9:36:28,1.53,
Buy,AAL,29,12.63,SMAT,9:36:48,3.77,
Buy,AAL,50,12.63,SMAT,9:39:02,0,
Sell,AAL,50,12.49,SMAT,9:41:26,-7,
Buy,AAL,50,12.69,SMAT,9:45:22,0,
Sell,AAL,25,12.78,SMAT,9:47:14,2.25,
Sell,AAL,25,12.77,SMAT,9:48:12,2,
Shrt,AAL,50,12.71,SMAT,9:50:39,0,
Buy,AAL,50,12.73,SMAT,9:54:25,-1,
Buy,AAL,50,12.76,SMAT,10:00:23,0,
Sell,AAL,12,12.87,SMAT,10:02:30,1.32,
Sell,AAL,9,12.94,SMAT,10:03:37,1.62,
Sell,AAL,29,12.88,SMAT,10:04:12,3.48,
Shrt,AAL,50,12.84,SMAT,10:05:42,0,
Buy,AAL,50,12.89,SMAT,10:07:44,-2.5,
Buy,AAL,50,12.94,SMAT,10:08:15,0,
Sell,AAL,50,12.93,SMAT,10:12:07,-0.5,
Buy,AAL,50,13,SMAT,10:13:00,0,
Sell,AAL,50,12.95,SMAT,10:19:15,-2.5,
Buy,AAL,50,12.99,SMAT,10:28:05,0,
Sell,AAL,12,13.05,SMAT,10:30:51,0.72,
Sell,AAL,19,13.14,SMAT,10:32:45,2.85,
Sell,AAL,19,13.2,SMAT,10:34:14,3.99,
Shrt,AAL,50,13.14,SMAT,10:37:40,0,
Buy,AAL,50,13.04,SMAT,10:39:50,5,
Buy,AAL,50,13.06,SMAT,10:46:24,0,
Sell,AAL,50,13.01,SMAT,10:50:14,-2.5,
Shrt,AAL,50,12.79,SMAT,11:05:58,0,
Buy,AAL,50,12.85,SMAT,11:10:17,-3,
