order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades,neg_sum,pos_sum
Buy,GRPN,40,22.99,SMAT,9:36:33,0,9.61,-18.39,21,-93.2,102.81
Sell,GRPN,40,22.96,SMAT,9:37:17,-1.2,0,0,0,0,0
Buy,GRPN,40,22.83,SMAT,9:38:19,0,0,0,0,0,0
Sell,GRPN,40,22.62,SMAT,9:40:02,-8.4,0,0,0,0,0
Buy,GRPN,40,22.98,SMAT,9:40:36,0,0,0,0,0,0
Sell,GRPN,40,22.54,SMAT,9:41:09,-17.6,0,0,0,0,0
Sell,GRPN,40,22.3,SMAT,9:42:16,0,0,0,0,0,0
Buy,GRPN,40,22.6,SMAT,9:42:39,-12,0,0,0,0,0
Sell,GRPN,40,22.34,SMAT,9:45:44,0,0,0,0,0,0
Buy,GRPN,40,22.33,SMAT,9:46:15,0.4,0,0,0,0,0
Sell,GRPN,40,22.3,SMAT,9:46:44,0,0,0,0,0,0
Buy,GRPN,10,22.14,SMAT,9:47:21,1.6,0,0,0,0,0
Buy,GRPN,30,22.08,SMAT,9:47:24,6.6,0,0,0,0,0
Buy,GRPN,40,22.38,SMAT,9:50:02,0,0,0,0,0,0
Sell,GRPN,10,22.59,SMAT,9:51:11,2.1,0,0,0,0,0
Sell,GRPN,30,22.75,SMAT,9:52:40,11.1,0,0,0,0,0
Buy,GRPN,40,22.78,SMAT,9:53:06,0,0,0,0,0,0
Sell,GRPN,40,22.61,SMAT,9:53:29,-6.8,0,0,0,0,0
Buy,GRPN,40,22.64,SMAT,9:53:38,0,0,0,0,0,0
Sell,GRPN,10,22.84,SMAT,9:54:10,2,0,0,0,0,0
Sell,GRPN,16,22.96,SMAT,9:54:21,5.12,0,0,0,0,0
Sell,GRPN,14,23.11,SMAT,9:55:39,6.58,0,0,0,0,0
Buy,GRPN,40,23.11,SMAT,9:55:12,0,0,0,0,0,0
Sell,GRPN,40,22.88,SMAT,9:56:14,-9.2,0,0,0,0,0
Buy,GRPN,40,22.9,SMAT,9:56:36,0,0,0,0,0,0
Sell,GRPN,10,23.06,SMAT,9:56:45,1.6,0,0,0,0,0
Sell,GRPN,7,23.18,SMAT,9:58:02,1.96,0,0,0,0,0
Sell,GRPN,23,23.29,SMAT,9:59:28,8.97,0,0,0,0,0
Buy,GRPN,40,23.21,SMAT,9:59:11,0,0,0,0,0,0
Sell,GRPN,16,23.48,SMAT,9:59:37,4.32,0,0,0,0,0
Sell,GRPN,24,23.56,SMAT,9:59:51,8.4,0,0,0,0,0
Buy,GRPN,40,23.25,SMAT,10:12:25,0,0,0,0,0,0
Sell,GRPN,10,23.47,SMAT,10:17:54,2.2,0,0,0,0,0
Sell,GRPN,15,23.69,SMAT,10:19:04,6.6,0,0,0,0,0
Sell,GRPN,15,23.85,SMAT,10:19:34,9,0,0,0,0,0
Sell,GRPN,40,24.38,SMAT,10:25:13,0,0,0,0,0,0
Buy,GRPN,40,24.57,SMAT,10:27:03,-7.6,0,0,0,0,0
Buy,GRPN,40,24.63,SMAT,10:27:07,0,0,0,0,0,0
Sell,GRPN,10,24.72,SMAT,10:27:23,0.9,0,0,0,0,0
Sell,GRPN,30,24.72,SMAT,10:28:05,2.7,0,0,0,0,0
Sell,GRPN,40,24.31,SMAT,10:28:32,0,0,0,0,0,0
Buy,GRPN,10,24.28,SMAT,10:28:53,0.3,0,0,0,0,0
Buy,GRPN,7,23.89,SMAT,10:29:23,2.94,0,0,0,0,0
Buy,GRPN,23,23.97,SMAT,10:30:05,7.82,0,0,0,0,0
Sell,GRPN,40,23.61,SMAT,10:31:20,0,0,0,0,0,0
Buy,GRPN,40,23.88,SMAT,10:32:30,-10.8,0,0,0,0,0
Buy,GRPN,40,24.18,SMAT,10:35:56,0,0,0,0,0,0
Sell,GRPN,40,23.97,SMAT,10:36:28,-8.4,0,0,0,0,0
Sell,GRPN,40,23.86,SMAT,10:38:17,0,0,0,0,0,0
Buy,GRPN,40,23.97,SMAT,10:39:39,-4.4,0,0,0,0,0
Buy,GRPN,40,24.17,SMAT,10:41:08,0,0,0,0,0,0
Sell,GRPN,10,24.35,SMAT,10:41:14,1.8,0,0,0,0,0
Sell,GRPN,15,24.59,SMAT,10:43:14,6.3,0,0,0,0,0
Sell,GRPN,15,24.27,SMAT,10:47:49,1.5,0,0,0,0,0
Buy,GRPN,40,24.43,SMAT,10:48:44,0,0,0,0,0,0
Sell,GRPN,40,24.26,SMAT,10:49:36,-6.8,0,0,0,0,0
