Event,B/S,Symb,Shares,Price,Route,Time,Account
Execute,Sell,GRPN,40,24.26,SMAT,10:49:36,TRP204102
Accept,Sell,GRPN,40,24.23,SMAT,10:49:36,TRP204102
Sending,Sell,GRPN,40,24.23,SMAT,10:49:36,TRP204102
Execute,Buy,GRPN,40,24.43,SMAT,10:48:44,TRP204102
Accept,Buy,GRPN,40,24.46,SMAT,10:48:44,TRP204102
Sending,Buy,GRPN,40,24.46,SMAT,10:48:44,TRP204102
Execute,Sell,GRPN,15,24.27,SMAT,10:47:49,TRP204102
Accept,Sell,GRPN,15,24.24,SMAT,10:47:49,TRP204102
Sending,Sell,GRPN,15,24.24,SMAT,10:47:49,TRP204102
Execute,Sell,GRPN,15,24.59,SMAT,10:43:14,TRP204102
Accept,Sell,GRPN,15,24.54,SMAT,10:43:14,TRP204102
Sending,Sell,GRPN,15,24.54,SMAT,10:43:14,TRP204102
Execute,Sell,GRPN,10,24.35,SMAT,10:41:14,TRP204102
Accept,Sell,GRPN,10,24.32,SMAT,10:41:14,TRP204102
Sending,Sell,GRPN,10,24.32,SMAT,10:41:14,TRP204102
Execute,Buy,GRPN,40,24.17,SMAT,10:41:08,TRP204102
Accept,Buy,GRPN,40,24.2,SMAT,10:41:08,TRP204102
Sending,Buy,GRPN,40,24.2,SMAT,10:41:08,TRP204102
Execute,Buy,GRPN,40,23.97,SMAT,10:39:39,TRP204102
Accept,Buy,GRPN,40,24.03,SMAT,10:39:39,TRP204102
Sending,Buy,GRPN,40,24.03,SMAT,10:39:39,TRP204102
Execute,Shrt,GRPN,40,23.86,SMAT,10:38:17,TRP204102
Accept,Shrt,GRPN,40,23.83,SMAT,10:38:17,TRP204102
Sending,Shrt,GRPN,40,23.83,SMAT,10:38:17,TRP204102
Execute,Sell,GRPN,40,23.97,SMAT,10:36:28,TRP204102
Accept,Sell,GRPN,40,23.94,SMAT,10:36:28,TRP204102
Sending,Sell,GRPN,40,23.94,SMAT,10:36:28,TRP204102
Execute,Buy,GRPN,40,24.18,SMAT,10:35:56,TRP204102
Accept,Buy,GRPN,40,24.21,SMAT,10:35:56,TRP204102
Sending,Buy,GRPN,40,24.21,SMAT,10:35:56,TRP204102
Execute,Buy,GRPN,40,23.88,SMAT,10:32:30,TRP204102
Accept,Buy,GRPN,40,23.91,SMAT,10:32:30,TRP204102
Sending,Buy,GRPN,40,23.91,SMAT,10:32:30,TRP204102
Execute,Shrt,GRPN,40,23.61,SMAT,10:31:20,TRP204102
Accept,Shrt,GRPN,40,23.59,SMAT,10:31:20,TRP204102
Sending,Shrt,GRPN,40,23.59,SMAT,10:31:20,TRP204102
Execute,Buy,GRPN,23,23.97,SMAT,10:30:05,TRP204102
Accept,Buy,GRPN,23,24,SMAT,10:30:05,TRP204102
Sending,Buy,GRPN,23,24,SMAT,10:30:05,TRP204102
Execute,Buy,GRPN,7,23.89,SMAT,10:29:23,TRP204102
Accept,Buy,GRPN,7,23.94,SMAT,10:29:23,TRP204102
Sending,Buy,GRPN,7,23.94,SMAT,10:29:23,TRP204102
Execute,Buy,GRPN,10,24.28,SMAT,10:28:53,TRP204102
Accept,Buy,GRPN,10,24.28,SMAT,10:28:53,TRP204102
Sending,Buy,GRPN,10,24.28,SMAT,10:28:53,TRP204102
