order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,Z,40.0,80.2,SMAT,9:32:25,0.0,-39.5,-45.5,6
Sell,Z,40.0,80.69,SMAT,9:33:41,19.6,0.0,0.0,0
Buy,Z,40.0,83.29,SMAT,10:09:45,0.0,0.0,0.0,0
Sell,Z,40.0,83.03,SMAT,10:09:59,-10.4,0.0,0.0,0
Sell,Z,40.0,82.82,SMAT,10:10:30,0.0,0.0,0.0,0
Buy,Z,40.0,83.28,SMAT,10:10:48,-18.4,0.0,0.0,0
Buy,Z,40.0,83.62,SMAT,10:10:58,0.0,0.0,0.0,0
Sell,Z,40.0,83.42,SMAT,10:11:09,-8.0,0.0,0.0,0
Sell,Z,40.0,83.58,SMAT,10:21:06,0.0,0.0,0.0,0
Buy,Z,40.0,84.0,SMAT,10:21:30,-16.8,0.0,0.0,0
Sell,Z,40.0,83.82,SMAT,10:21:36,0.0,0.0,0.0,0
Buy,Z,10.0,83.8,SMAT,10:21:55,0.2,0.0,0.0,0
Buy,Z,30.0,84.01,SMAT,10:22:04,-5.7,0.0,0.0,0
