Event,B/S,Symb,Shares,Price,Route,Time,Account
Execute,Buy,Z,30,84.01,SMAT,10:22:04,TRP204102
Accept,Buy,Z,30,84.04,SMAT,10:22:04,TRP204102
Sending,Buy,Z,30,84.04,SMAT,10:22:04,TRP204102
Execute,Buy,Z,10,83.8,SMAT,10:21:55,TRP204102
Accept,Buy,Z,10,83.83,SMAT,10:21:55,TRP204102
Sending,Buy,Z,10,83.83,SMAT,10:21:55,TRP204102
Execute,Shrt,Z,40,83.82,SMAT,10:21:36,TRP204102
Accept,Shrt,Z,40,83.79,SMAT,10:21:36,TRP204102
Sending,Shrt,Z,40,83.79,SMAT,10:21:36,TRP204102
Execute,Buy,Z,40,84,SMAT,10:21:30,TRP204102
Accept,Buy,Z,40,84.03,SMAT,10:21:30,TRP204102
Sending,Buy,Z,40,84.03,SMAT,10:21:30,TRP204102
Execute,Shrt,Z,40,83.58,SMAT,10:21:06,TRP204102
Accept,Shrt,Z,40,83.54,SMAT,10:21:06,TRP204102
Sending,Shrt,Z,40,83.54,SMAT,10:21:06,TRP204102
Execute,Sell,Z,40,83.42,SMAT,10:11:09,TRP204102
Accept,Sell,Z,40,83.35,SMAT,10:11:09,TRP204102
Sending,Sell,Z,40,83.35,SMAT,10:11:09,TRP204102
Execute,Buy,Z,40,83.62,SMAT,10:10:58,TRP204102
Accept,Buy,Z,40,83.65,SMAT,10:10:58,TRP204102
Sending,Buy,Z,40,83.65,SMAT,10:10:58,TRP204102
Execute,Buy,Z,40,83.28,SMAT,10:10:48,TRP204102
Accept,Buy,Z,40,83.33,SMAT,10:10:48,TRP204102
Sending,Buy,Z,40,83.33,SMAT,10:10:48,TRP204102
Execute,Shrt,Z,40,82.82,SMAT,10:10:30,TRP204102
Accept,Shrt,Z,40,82.82,SMAT,10:10:30,TRP204102
Sending,Shrt,Z,40,82.82,SMAT,10:10:30,TRP204102
Execute,Sell,Z,40,83.03,SMAT,10:09:59,TRP204102
Accept,Sell,Z,40,83,SMAT,10:09:59,TRP204102
Sending,Sell,Z,40,83,SMAT,10:09:59,TRP204102
Execute,Buy,Z,40,83.29,SMAT,10:09:45,TRP204102
Accept,Buy,Z,40,83.3,SMAT,10:09:42,TRP204102
Sending,Buy,Z,40,83.3,SMAT,10:09:42,TRP204102
Execute,Sell,Z,40,80.69,SMAT,9:33:41,TRP204102
Accept,Sell,Z,40,80.67,SMAT,9:33:40,TRP204102
Sending,Sell,Z,40,80.67,SMAT,9:33:40,TRP204102
Execute,Buy,Z,40,80.2,SMAT,9:32:25,TRP204102
Accept,Buy,Z,40,80.24,SMAT,9:32:25,TRP204102
Sending,Buy,Z,40,80.24,SMAT,9:32:25,TRP204102
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
