order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,INO,50,13.32,SMAT,12:32:54,0.0,15.990000000000006,-21.009999999999994,18
Sell,INO,50,13.15,SMAT,12:34:09,-8.5,0.0,0.0,0
Buy,INO,50,13.22,SMAT,12:35:18,0.0,0.0,0.0,0
Sell,INO,50,13.1,SMAT,12:36:49,-6.0,0.0,0.0,0
Buy,INO,50,13.23,SMAT,12:37:59,0.0,0.0,0.0,0
Sell,INO,5,13.32,SMAT,12:39:02,0.45,0.0,0.0,0
Sell,INO,11,13.34,SMAT,12:39:45,1.21,0.0,0.0,0
Sell,INO,8,13.38,SMAT,12:39:48,1.2,0.0,0.0,0
Sell,INO,6,13.42,SMAT,12:41:05,1.14,0.0,0.0,0
Sell,INO,5,13.44,SMAT,12:41:20,1.05,0.0,0.0,0
Sell,INO,3,13.43,SMAT,12:41:26,0.6,0.0,0.0,0
Sell,INO,12,13.4,SMAT,12:41:29,2.04,0.0,0.0,0
Buy,INO,50,13.6,SMAT,12:43:14,0.0,0.0,0.0,0
Sell,INO,12,13.71,SMAT,12:43:23,1.32,0.0,0.0,0
Sell,INO,38,13.61,SMAT,12:44:36,0.38,0.0,0.0,0
Sell,INO,50,13.61,SMAT,12:46:07,0.0,0.0,0.0,0
Buy,INO,5,13.51,SMAT,12:46:59,0.5,0.0,0.0,0
Buy,INO,4,13.42,SMAT,12:47:05,0.76,0.0,0.0,0
Buy,INO,41,13.5,SMAT,12:47:38,4.51,0.0,0.0,0
Buy,INO,50,13.6,SMAT,12:48:50,0.0,0.0,0.0,0
Sell,INO,50,13.63,SMAT,12:51:36,1.5,0.0,0.0,0
Sell,INO,50,13.7,SMAT,12:56:02,0.0,0.0,0.0,0
Buy,INO,50,13.71,SMAT,12:57:19,-0.5,0.0,0.0,0
Buy,INO,50,13.75,SMAT,12:57:35,0.0,0.0,0.0,0
Sell,INO,50,13.66,SMAT,12:58:59,-4.5,0.0,0.0,0
Sell,INO,50,13.61,SMAT,12:59:07,0.0,0.0,0.0,0
Buy,INO,50,13.68,SMAT,12:59:28,-3.5,0.0,0.0,0
Sell,INO,50,13.57,SMAT,13:00:56,0.0,0.0,0.0,0
Buy,INO,5,13.52,SMAT,13:02:37,0.25,0.0,0.0,0
Buy,INO,45,13.63,SMAT,13:03:52,-2.7,0.0,0.0,0
Buy,INO,50,13.65,SMAT,13:04:10,0.0,0.0,0.0,0
Sell,INO,50,13.66,SMAT,13:06:27,0.5,0.0,0.0,0
Buy,INO,50,13.65,SMAT,13:07:27,0.0,0.0,0.0,0
Sell,INO,12,13.67,SMAT,13:08:19,0.24,0.0,0.0,0
Sell,INO,9,13.72,SMAT,13:08:58,0.63,0.0,0.0,0
Sell,INO,29,13.66,SMAT,13:09:16,0.29,0.0,0.0,0
Sell,INO,50,13.63,SMAT,13:12:13,0.0,0.0,0.0,0
Buy,INO,5,13.55,SMAT,13:13:04,0.4,0.0,0.0,0
Buy,INO,4,13.54,SMAT,13:14:16,0.36,0.0,0.0,0
Buy,INO,41,13.47,SMAT,13:14:20,6.56,0.0,0.0,0
Buy,INO,50,13.41,SMAT,13:14:38,0.0,0.0,0.0,0
Sell,INO,12,13.51,SMAT,13:15:28,1.2,0.0,0.0,0
Sell,INO,9,13.49,SMAT,13:17:15,0.72,0.0,0.0,0
Sell,INO,7,13.53,SMAT,13:17:55,0.84,0.0,0.0,0
Sell,INO,5,13.56,SMAT,13:20:19,0.75,0.0,0.0,0
Sell,INO,17,13.6,SMAT,13:20:53,3.23,0.0,0.0,0
Sell,INO,50,13.35,SMAT,13:25:03,0.0,0.0,0.0,0
Buy,INO,50,13.43,SMAT,13:25:13,-4.0,0.0,0.0,0
Buy,INO,50,13.36,SMAT,13:27:03,0.0,0.0,0.0,0
Sell,INO,12,13.44,SMAT,13:30:55,0.96,0.0,0.0,0
Sell,INO,9,13.43,SMAT,13:33:04,0.63,0.0,0.0,0
Sell,INO,7,13.45,SMAT,13:33:13,0.63,0.0,0.0,0
Sell,INO,22,13.41,SMAT,13:36:02,1.1,0.0,0.0,0
Sell,INO,50,13.38,SMAT,13:36:37,0.0,0.0,0.0,0
Buy,INO,5,13.31,SMAT,13:38:18,0.35,0.0,0.0,0
Buy,INO,4,13.3,SMAT,13:38:51,0.32,0.0,0.0,0
Buy,INO,4,13.29,SMAT,13:39:19,0.36,0.0,0.0,0
Buy,INO,3,13.27,SMAT,13:39:38,0.33,0.0,0.0,0
Buy,INO,3,13.27,SMAT,13:39:52,0.33,0.0,0.0,0
Buy,INO,3,13.28,SMAT,13:39:54,0.3,0.0,0.0,0
Buy,INO,2,13.23,SMAT,13:40:04,0.3,0.0,0.0,0
Buy,INO,2,13.23,SMAT,13:40:04,0.3,0.0,0.0,0
Buy,INO,2,13.26,SMAT,13:40:24,0.24,0.0,0.0,0
Buy,INO,2,13.25,SMAT,13:40:28,0.26,0.0,0.0,0
Buy,INO,2,13.23,SMAT,13:40:42,0.3,0.0,0.0,0
Buy,INO,1,13.21,SMAT,13:40:47,0.17,0.0,0.0,0
Buy,INO,1,13.25,SMAT,13:41:24,0.13,0.0,0.0,0
Buy,INO,16,13.3,SMAT,13:41:43,1.28,0.0,0.0,0
Buy,INO,50,13.31,SMAT,13:42:39,0.0,0.0,0.0,0
Sell,INO,12,13.35,SMAT,13:46:16,0.48,0.0,0.0,0
Sell,INO,9,13.38,SMAT,13:46:42,0.63,0.0,0.0,0
Sell,INO,7,13.4,SMAT,13:47:16,0.63,0.0,0.0,0
Sell,INO,5,13.44,SMAT,13:47:48,0.65,0.0,0.0,0
Sell,INO,17,13.45,SMAT,13:47:56,2.38,0.0,0.0,0
