order_type,ticker,size,price_filled,route,time_filled,
Sell,MRNA,50,83.75,SMAT,12:33:16,
Buy,MRNA,50,83.4,SMAT,12:33:28,
Buy,MRNA,50,82.7,SMAT,12:35:17,
Sell,MRNA,50,81.7,SMAT,12:35:36,-50
Sell,MRNA,50,80.99,SMAT,12:35:48,
Buy,MRNA,50,81.66,SMAT,12:37:01,-33.5
Sell,MRNA,50,81.05,SMAT,12:39:10,
Buy,MRNA,50,82,SMAT,12:39:45,
Sell,MRNA,50,80.27,SMAT,12:41:15,
Buy,MRNA,50,79,SMAT,12:42:13,
Buy,MRNA,50,80.24,SMAT,12:42:46,
Sell,MRNA,50,80.5,SMAT,12:43:29,
Buy,MRNA,50,80.41,SMAT,12:44:16,
Sell,MRNA,25,80.96,SMAT,12:45:18,
Sell,MRNA,25,80.21,SMAT,12:46:20,
Sell,MRNA,50,78.75,SMAT,12:48:00,
Buy,MRNA,25,77.1,SMAT,12:48:09,41.25
Buy,MRNA,25,78.09,SMAT,12:48:14,16.5
Buy,MRNA,50,77.26,SMAT,12:49:04,
Sell,MRNA,50,77.94,SMAT,12:49:10,
Sell,MRNA,50,76.5,SMAT,12:50:34,
Buy,MRNA,25,76.16,SMAT,12:51:11,
Buy,MRNA,25,76.18,SMAT,12:51:33,
