Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:00,INO,B,16.68,100,SMAT,,TRP202239,Margin,
12:30:09,INO,SS,16.83,100,SMAT,,TRP202239,Short,
12:32:35,INO,B,16.24,100,SMAT,,TRP202239,Margin,
12:33:41,INO,SS,16.5,50,SMAT,,TRP202239,Short,
12:34:56,INO,SS,16.24,50,SMAT,,TRP202239,Short,
12:36:46,INO,SS,16.2,100,SMAT,,TRP202239,Short,
12:36:55,INO,B,16.01,50,SMAT,,TRP202239,Margin,
12:36:56,INO,B,15.88,25,SMAT,,TRP202239,Margin,
12:37:02,INO,B,15.97,25,SMAT,,TRP202239,Margin,
12:39:45,INO,B,15.81,100,SMAT,,TRP202239,Margin,
12:39:54,INO,SS,16.01,50,SMAT,,TRP202239,Short,
12:40:10,INO,SS,15.91,50,SMAT,,TRP202239,Short,
12:44:20,INO,B,15.95,100,SMAT,,TRP202239,Margin,
12:44:24,INO,SS,15.84,100,SMAT,,TRP202239,Short,
12:44:48,INO,SS,15.8,100,SMAT,,TRP202239,Short,
12:45:08,INO,B,15.67,100,SMAT,,TRP202239,Margin,
12:45:43,INO,B,15.95,100,SMAT,,TRP202239,Margin,
12:46:19,INO,SS,16.11,50,SMAT,,TRP202239,Short,
12:48:19,INO,SS,16.08,50,SMAT,,TRP202239,Short,
12:50:06,INO,B,16.23,100,SMAT,,TRP202239,Margin,
12:50:26,INO,SS,16.29,50,SMAT,,TRP202239,Short,
12:51:04,INO,SS,16.39,50,SMAT,,TRP202239,Short,
12:52:27,INO,SS,16.27,100,SMAT,,TRP202239,Short,
12:52:42,INO,B,16.15,50,SMAT,,TRP202239,Margin,
12:52:43,INO,B,16.13,50,SMAT,,TRP202239,Margin,
12:58:53,INO,B,16.26,100,SMAT,,TRP202239,Margin,
12:59:11,INO,SS,16.16,100,SMAT,,TRP202239,Short,
12:59:23,INO,SS,16.03,100,SMAT,,TRP202239,Short,
12:59:40,INO,B,15.99,100,SMAT,,TRP202239,Margin,
13:00:01,INO,SS,15.98,100,SMAT,,TRP202239,Short,
13:00:44,INO,B,15.88,50,SMAT,,TRP202239,Margin,
13:01:29,INO,B,15.99,50,SMAT,,TRP202239,Margin,
13:02:21,INO,B,16.1,100,SMAT,,TRP202239,Margin,
13:03:48,INO,SS,16.2,50,SMAT,,TRP202239,Short,
13:05:08,INO,SS,16.03,50,SMAT,,TRP202239,Short,
13:05:49,INO,SS,16,100,SMAT,,TRP202239,Short,
13:06:12,INO,B,15.93,50,SMAT,,TRP202239,Margin,
13:07:17,INO,B,15.8,25,SMAT,,TRP202239,Margin,
13:08:03,INO,B,15.82,25,SMAT,,TRP202239,Margin,
