order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,NCLH,100,12.96,SMAT,12:32:48,0.0,32.75,10.75,17
Sell,NCLH,50,13.0,SMAT,12:32:55,2.0,0.0,0.0,0
Sell,NCLH,50,13.1,SMAT,12:33:12,7.0,0.0,0.0,0
Sell,NCLH,100,13.32,SMAT,12:36:44,0.0,0.0,0.0,0
Buy,NCLH,50,13.22,SMAT,12:37:02,5.0,0.0,0.0,0
Buy,NCLH,50,13.32,SMAT,12:37:48,0.0,0.0,0.0,0
Buy,NCLH,100,13.41,SMAT,12:38:49,0.0,0.0,0.0,0
Sell,NCLH,100,13.37,SMAT,12:41:17,-4.0,0.0,0.0,0
Sell,NCLH,100,13.29,SMAT,12:41:38,0.0,0.0,0.0,0
Buy,NCLH,50,13.2,SMAT,12:41:53,4.5,0.0,0.0,0
Buy,NCLH,50,13.32,SMAT,12:42:41,-1.5,0.0,0.0,0
Buy,NCLH,100,13.35,SMAT,12:43:46,0.0,0.0,0.0,0
Sell,NCLH,100,13.33,SMAT,12:46:05,-2.0,0.0,0.0,0
Sell,NCLH,100,13.25,SMAT,12:47:40,0.0,0.0,0.0,0
Buy,NCLH,100,13.29,SMAT,12:48:58,-4.0,0.0,0.0,0
Buy,NCLH,100,13.35,SMAT,12:49:03,0.0,0.0,0.0,0
Sell,NCLH,100,13.31,SMAT,12:49:55,-4.0,0.0,0.0,0
Buy,NCLH,100,13.44,SMAT,12:52:26,0.0,0.0,0.0,0
Sell,NCLH,50,13.49,SMAT,12:52:56,2.5,0.0,0.0,0
Sell,NCLH,50,13.54,SMAT,12:53:00,5.0,0.0,0.0,0
Sell,NCLH,100,13.39,SMAT,12:55:50,0.0,0.0,0.0,0
Buy,NCLH,50,13.33,SMAT,12:56:05,3.0,0.0,0.0,0
Buy,NCLH,50,13.36,SMAT,12:56:15,1.5,0.0,0.0,0
Buy,NCLH,100,13.44,SMAT,12:57:21,0.0,0.0,0.0,0
Sell,NCLH,50,13.54,SMAT,12:58:15,5.0,0.0,0.0,0
Sell,NCLH,25,13.6,SMAT,12:58:39,4.0,0.0,0.0,0
Sell,NCLH,25,13.59,SMAT,12:58:40,3.75,0.0,0.0,0
Sell,NCLH,100,13.59,SMAT,12:59:38,0.0,0.0,0.0,0
Buy,NCLH,100,13.61,SMAT,13:00:19,-2.0,0.0,0.0,0
Sell,NCLH,100,13.59,SMAT,13:01:26,0.0,0.0,0.0,0
Buy,NCLH,50,13.51,SMAT,13:02:25,4.0,0.0,0.0,0
Buy,NCLH,50,13.57,SMAT,13:03:37,1.0,0.0,0.0,0
Buy,NCLH,100,13.68,SMAT,13:05:22,0.0,0.0,0.0,0
Sell,NCLH,100,13.62,SMAT,13:06:26,-6.0,0.0,0.0,0
Buy,NCLH,100,13.69,SMAT,13:08:10,0.0,0.0,0.0,0
Sell,NCLH,50,13.75,SMAT,13:10:14,3.0,0.0,0.0,0
Sell,NCLH,50,13.79,SMAT,13:10:34,5.0,0.0,0.0,0
Sell,NCLH,100,13.89,SMAT,13:13:13,0.0,0.0,0.0,0
Buy,NCLH,100,13.92,SMAT,13:13:43,-3.0,0.0,0.0,0
Buy,NCLH,100,13.99,SMAT,13:14:47,0.0,0.0,0.0,0
Sell,NCLH,50,14.05,SMAT,13:16:04,3.0,0.0,0.0,0
Sell,NCLH,50,14.09,SMAT,13:16:26,5.0,0.0,0.0,0
Sell,NCLH,100,14.0,SMAT,13:17:59,0.0,0.0,0.0,0
Buy,NCLH,100,14.05,SMAT,13:19:13,-5.0,0.0,0.0,0
