Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:32:48,NCLH,B,12.96,100,SMAT,,TRP202239,Margin,
12:32:55,NCLH,SS,13,50,SMAT,,TRP202239,Short,
12:33:12,NCLH,SS,13.1,50,SMAT,,TRP202239,Short,
12:36:44,NCLH,SS,13.32,100,SMAT,,TRP202239,Short,
12:37:02,NCLH,B,13.22,50,SMAT,,TRP202239,Margin,
12:37:48,NCLH,B,13.32,50,SMAT,,TRP202239,Margin,
12:38:49,NCLH,B,13.41,100,SMAT,,TRP202239,Margin,
12:41:17,NCLH,SS,13.37,100,SMAT,,TRP202239,Short,
12:41:38,NCLH,SS,13.29,100,SMAT,,TRP202239,Short,
12:41:53,NCLH,B,13.2,50,SMAT,,TRP202239,Margin,
12:42:41,NCLH,B,13.32,50,SMAT,,TRP202239,Margin,
12:43:46,NCLH,B,13.35,100,SMAT,,TRP202239,Margin,
12:46:05,NCLH,SS,13.33,100,SMAT,,TRP202239,Short,
12:47:40,NCLH,SS,13.25,100,SMAT,,TRP202239,Short,
12:48:58,NCLH,B,13.29,100,SMAT,,TRP202239,Margin,
12:49:03,NCLH,B,13.35,100,SMAT,,TRP202239,Margin,
12:49:55,NCLH,SS,13.31,100,SMAT,,TRP202239,Short,
12:52:26,NCLH,B,13.44,100,SMAT,,TRP202239,Margin,
12:52:56,NCLH,SS,13.49,50,SMAT,,TRP202239,Short,
12:53:00,NCLH,SS,13.54,50,SMAT,,TRP202239,Short,
12:55:50,NCLH,SS,13.39,100,SMAT,,TRP202239,Short,
12:56:05,NCLH,B,13.33,50,SMAT,,TRP202239,Margin,
12:56:15,NCLH,B,13.36,50,SMAT,,TRP202239,Margin,
12:57:21,NCLH,B,13.44,100,SMAT,,TRP202239,Margin,
12:58:15,NCLH,SS,13.54,50,SMAT,,TRP202239,Short,
12:58:39,NCLH,SS,13.6,25,SMAT,,TRP202239,Short,
12:58:40,NCLH,SS,13.59,25,SMAT,,TRP202239,Short,
12:59:38,NCLH,SS,13.59,100,SMAT,,TRP202239,Short,
13:00:19,NCLH,B,13.61,100,SMAT,,TRP202239,Margin,
13:01:26,NCLH,SS,13.59,100,SMAT,,TRP202239,Short,
13:02:25,NCLH,B,13.51,50,SMAT,,TRP202239,Margin,
13:03:37,NCLH,B,13.57,50,SMAT,,TRP202239,Margin,
13:05:22,NCLH,B,13.68,100,SMAT,,TRP202239,Margin,
13:06:26,NCLH,SS,13.62,100,SMAT,,TRP202239,Short,
13:08:10,NCLH,B,13.69,100,SMAT,,TRP202239,Margin,
13:10:14,NCLH,SS,13.75,50,SMAT,,TRP202239,Short,
13:10:34,NCLH,SS,13.79,50,SMAT,,TRP202239,Short,
13:13:13,NCLH,SS,13.89,100,SMAT,,TRP202239,Short,
13:13:43,NCLH,B,13.92,100,SMAT,,TRP202239,Margin,
13:14:47,NCLH,B,13.99,100,SMAT,,TRP202239,Margin,
13:16:04,NCLH,SS,14.05,50,SMAT,,TRP202239,Short,
13:16:26,NCLH,SS,14.09,50,SMAT,,TRP202239,Short,
13:17:59,NCLH,SS,14,100,SMAT,,TRP202239,Short,
13:19:13,NCLH,B,14.05,100,SMAT,,TRP202239,Margin,
