order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl
Buy,ROKU,25,112,SMAT,12:30:09,0,62.98,40.98
Sell,ROKU,25,112.31,SMAT,12:30:24,7.75,0,0
Sell,ROKU,50,111.58,SMAT,12:32:08,0,0,0
Buy,ROKU,25,111.06,SMAT,12:32:23,13,0,0
Buy,ROKU,25,110.98,SMAT,12:32:30,15,0,0
Sell,ROKU,50,109.85,SMAT,12:35:21,0,0,0
Buy,ROKU,50,110,SMAT,12:36:07,-7.5,0,0
Sell,ROKU,50,109.61,SMAT,12:38:06,0,0,0
Buy,ROKU,50,109.5,SMAT,12:38:24,5.5,0,0
Buy,ROKU,50,110.02,SMAT,12:41:14,0,0,0
Sell,ROKU,25,110.32,SMAT,12:42:22,7.5,0,0
Sell,ROKU,25,110.47,SMAT,12:42:35,11.25,0,0
Sell,ROKU,50,109.9,SMAT,12:43:25,0,0,0
Buy,ROKU,12,109.64,SMAT,12:45:03,3.12,0,0
Buy,ROKU,38,109.51,SMAT,12:45:07,14.82,0,0
Sell,ROKU,50,109.14,SMAT,12:45:23,0,0,0
Buy,ROKU,50,109.46,SMAT,12:45:35,-16,0,0
Buy,ROKU,50,110.15,SMAT,12:48:50,0,0,0
Sell,ROKU,25,110.39,SMAT,12:49:00,6,0,0
Sell,ROKU,25,110.67,SMAT,12:49:06,13,0,0
Sell,ROKU,50,110.45,SMAT,12:49:56,0,0,0
Buy,ROKU,25,110.04,SMAT,12:50:44,10.25,0,0
Buy,ROKU,25,110.09,SMAT,12:50:48,9,0,0
Buy,ROKU,50,110.88,SMAT,12:53:18,0,0,0
Sell,ROKU,50,110.74,SMAT,12:53:48,-7,0,0
Sell,ROKU,50,110.18,SMAT,12:54:26,0,0,0
Buy,ROKU,25,109.99,SMAT,12:55:12,4.75,0,0
Buy,ROKU,12,109.97,SMAT,12:56:15,2.52,0,0
Buy,ROKU,13,110.14,SMAT,12:57:13,0.52,0,0
Buy,ROKU,50,110.42,SMAT,12:59:07,0,0,0
Sell,ROKU,50,110.17,SMAT,12:59:38,-12.5,0,0
Sell,ROKU,50,109.9,SMAT,13:00:40,0,0,0
Buy,ROKU,50,109.75,SMAT,13:00:43,7.5,0,0
Sell,ROKU,50,109.65,SMAT,13:02:48,0,0,0
Buy,ROKU,50,109.52,SMAT,13:02:51,6.5,0,0
Sell,ROKU,50,109.73,SMAT,13:05:12,0,0,0
Buy,ROKU,50,109.87,SMAT,13:05:26,-7,0,0
Sell,ROKU,50,109.61,SMAT,13:06:06,0,0,0
Buy,ROKU,50,110,SMAT,13:06:36,-19.5,0,0
Sell,ROKU,50,109.51,SMAT,13:08:35,0,0,0
Buy,ROKU,50,109.89,SMAT,13:09:02,-19,0,0
Sell,ROKU,50,109.33,SMAT,13:11:26,0,0,0
Buy,ROKU,25,109.23,SMAT,13:11:41,2.5,0,0
Buy,ROKU,25,108.89,SMAT,13:12:02,11,0,0
