Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:09,ROKU,B,112,50,SMAT,,TRP202239,Margin,
12:30:24,ROKU,SS,112.31,50,SMAT,,TRP202239,Short,
12:32:08,ROKU,SS,111.58,50,SMAT,,TRP202239,Short,
12:32:23,ROKU,B,111.06,25,SMAT,,TRP202239,Margin,
12:32:30,ROKU,B,110.98,25,SMAT,,TRP202239,Margin,
12:35:21,ROKU,SS,109.85,50,SMAT,,TRP202239,Short,
12:36:07,ROKU,B,110,50,SMAT,,TRP202239,Margin,
12:38:06,ROKU,SS,109.61,50,SMAT,,TRP202239,Short,
12:38:24,ROKU,B,109.5,50,SMAT,,TRP202239,Margin,
12:41:14,ROKU,B,110.02,50,SMAT,,TRP202239,Margin,
12:42:22,ROKU,SS,110.32,25,SMAT,,TRP202239,Short,
12:42:35,ROKU,SS,110.47,25,SMAT,,TRP202239,Short,
12:43:25,ROKU,SS,109.9,50,SMAT,,TRP202239,Short,
12:45:03,ROKU,B,109.64,12,SMAT,,TRP202239,Margin,
12:45:07,ROKU,B,109.51,38,SMAT,,TRP202239,Margin,
12:45:23,ROKU,SS,109.14,50,SMAT,,TRP202239,Short,
12:45:35,ROKU,B,109.46,50,SMAT,,TRP202239,Margin,
12:48:50,ROKU,B,110.15,50,SMAT,,TRP202239,Margin,
12:49:00,ROKU,SS,110.39,25,SMAT,,TRP202239,Short,
12:49:06,ROKU,SS,110.67,25,SMAT,,TRP202239,Short,
12:49:56,ROKU,SS,110.45,50,SMAT,,TRP202239,Short,
12:50:44,ROKU,B,110.04,25,SMAT,,TRP202239,Margin,
12:50:48,ROKU,B,110.09,25,SMAT,,TRP202239,Margin,
12:53:18,ROKU,B,110.88,50,SMAT,,TRP202239,Margin,
12:53:48,ROKU,SS,110.74,50,SMAT,,TRP202239,Short,
12:54:26,ROKU,SS,110.18,50,SMAT,,TRP202239,Short,
12:55:12,ROKU,B,109.99,25,SMAT,,TRP202239,Margin,
12:56:15,ROKU,B,109.97,12,SMAT,,TRP202239,Margin,
12:57:13,ROKU,B,110.14,13,SMAT,,TRP202239,Margin,
12:59:07,ROKU,B,110.42,50,SMAT,,TRP202239,Margin,
12:59:38,ROKU,SS,110.17,50,SMAT,,TRP202239,Short,
13:00:40,ROKU,SS,109.9,50,SMAT,,TRP202239,Short,
13:00:43,ROKU,B,109.75,50,SMAT,,TRP202239,Margin,
13:02:48,ROKU,SS,109.65,50,SMAT,,TRP202239,Short,
13:02:51,ROKU,B,109.52,50,SMAT,,TRP202239,Margin,
13:05:12,ROKU,SS,109.73,50,SMAT,,TRP202239,Short,
13:05:26,ROKU,B,109.87,50,SMAT,,TRP202239,Margin,
13:06:06,ROKU,SS,109.61,50,SMAT,,TRP202239,Short,
13:06:36,ROKU,B,110,50,SMAT,,TRP202239,Margin,
13:08:35,ROKU,SS,109.51,50,SMAT,,TRP202239,Short,
13:09:02,ROKU,B,109.89,50,SMAT,,TRP202239,Margin,
13:11:26,ROKU,SS,109.33,50,SMAT,,TRP202239,Short,
13:11:41,ROKU,B,109.23,25,SMAT,,TRP202239,Margin,
13:12:02,ROKU,B,108.89,25,SMAT,,TRP202239,Margin,
