order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Sell,FB,25,224.14,SMAT,12:30:02,0.0,7.679999999999997,-14.320000000000004,19
Buy,FB,25,224.74,SMAT,12:30:06,-15.0,0.0,0.0,0
Buy,FB,25,225.26,SMAT,12:30:12,0.0,0.0,0.0,0
Sell,FB,25,225.82,SMAT,12:30:33,14.0,0.0,0.0,0
Buy,FB,25,226.6,SMAT,12:31:48,0.0,0.0,0.0,0
Sell,FB,25,226.35,SMAT,12:32:11,-6.25,0.0,0.0,0
Sell,FB,25,226.01,SMAT,12:32:31,0.0,0.0,0.0,0
Buy,FB,12,225.46,SMAT,12:33:15,6.6,0.0,0.0,0
Buy,FB,13,225.24,SMAT,12:33:22,10.01,0.0,0.0,0
Sell,FB,25,224.42,SMAT,12:34:17,0.0,0.0,0.0,0
Buy,FB,25,225.01,SMAT,12:34:47,-14.75,0.0,0.0,0
Buy,FB,25,225.12,SMAT,12:36:13,0.0,0.0,0.0,0
Sell,FB,12,225.89,SMAT,12:36:54,9.24,0.0,0.0,0
Sell,FB,6,226.06,SMAT,12:37:26,5.64,0.0,0.0,0
Sell,FB,7,226.61,SMAT,12:39:08,10.43,0.0,0.0,0
Sell,FB,25,226.8,SMAT,12:41:21,0.0,0.0,0.0,0
Buy,FB,12,226.33,SMAT,12:41:46,5.64,0.0,0.0,0
Buy,FB,13,226.76,SMAT,12:42:43,0.52,0.0,0.0,0
Buy,FB,25,227.49,SMAT,12:43:59,0.0,0.0,0.0,0
Sell,FB,25,227.73,SMAT,12:45:05,6.0,0.0,0.0,0
Buy,FB,25,227.21,SMAT,12:46:47,0.0,0.0,0.0,0
Sell,FB,12,227.77,SMAT,12:47:18,6.72,0.0,0.0,0
Sell,FB,13,228.02,SMAT,12:47:55,10.53,0.0,0.0,0
Sell,FB,25,227.04,SMAT,12:49:46,0.0,0.0,0.0,0
Buy,FB,25,227.65,SMAT,12:51:18,-15.25,0.0,0.0,0
Buy,FB,25,227.6,SMAT,12:52:03,0.0,0.0,0.0,0
Sell,FB,25,227.72,SMAT,12:54:12,3.0,0.0,0.0,0
Sell,FB,25,227.36,SMAT,12:56:09,0.0,0.0,0.0,0
Buy,FB,25,227.07,SMAT,12:57:05,7.25,0.0,0.0,0
Sell,FB,25,226.81,SMAT,12:57:18,0.0,0.0,0.0,0
Buy,FB,25,227.03,SMAT,12:58:43,-5.5,0.0,0.0,0
Buy,FB,25,226.92,SMAT,12:59:51,0.0,0.0,0.0,0
Sell,FB,25,226.57,SMAT,13:00:42,-8.75,0.0,0.0,0
Buy,FB,25,227.16,SMAT,13:03:38,0.0,0.0,0.0,0
Sell,FB,12,227.47,SMAT,13:06:03,3.72,0.0,0.0,0
Sell,FB,13,227.69,SMAT,13:06:12,6.89,0.0,0.0,0
Sell,FB,25,228.22,SMAT,13:10:08,0.0,0.0,0.0,0
Buy,FB,25,228.55,SMAT,13:10:41,-8.25,0.0,0.0,0
Buy,FB,25,228.62,SMAT,13:10:46,0.0,0.0,0.0,0
Sell,FB,25,228.08,SMAT,13:13:10,-13.5,0.0,0.0,0
Buy,FB,25,228.59,SMAT,13:16:23,0.0,0.0,0.0,0
Sell,FB,25,228.09,SMAT,13:17:47,-12.5,0.0,0.0,0
Sell,FB,25,227.9,SMAT,13:18:35,0.0,0.0,0.0,0
Buy,FB,12,227.71,SMAT,13:18:43,2.28,0.0,0.0,0
Buy,FB,13,227.98,SMAT,13:19:09,-1.04,0.0,0.0,0
