Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:02,FB,SS,224.14,25,SMAT,,TRP202239,Short,
12:30:06,FB,B,224.74,25,SMAT,,TRP202239,Margin,
12:30:12,FB,B,225.26,25,SMAT,,TRP202239,Margin,
12:30:33,FB,SS,225.82,25,SMAT,,TRP202239,Short,
12:31:48,FB,B,226.6,25,SMAT,,TRP202239,Margin,
12:32:11,FB,SS,226.35,25,SMAT,,TRP202239,Short,
12:32:31,FB,SS,226.01,25,SMAT,,TRP202239,Short,
12:33:15,FB,B,225.46,12,SMAT,,TRP202239,Margin,
12:33:22,FB,B,225.24,13,SMAT,,TRP202239,Margin,
12:34:17,FB,SS,224.42,25,SMAT,,TRP202239,Short,
12:34:47,FB,B,225.01,25,SMAT,,TRP202239,Margin,
12:36:13,FB,B,225.12,25,SMAT,,TRP202239,Margin,
12:36:54,FB,SS,225.89,12,SMAT,,TRP202239,Short,
12:37:26,FB,SS,226.06,6,SMAT,,TRP202239,Short,
12:39:08,FB,SS,226.61,7,SMAT,,TRP202239,Short,
12:41:21,FB,SS,226.8,25,SMAT,,TRP202239,Short,
12:41:46,FB,B,226.33,12,SMAT,,TRP202239,Margin,
12:42:43,FB,B,226.76,13,SMAT,,TRP202239,Margin,
12:43:59,FB,B,227.49,25,SMAT,,TRP202239,Margin,
12:45:05,FB,SS,227.73,25,SMAT,,TRP202239,Short,
12:46:47,FB,B,227.21,25,SMAT,,TRP202239,Margin,
12:47:18,FB,SS,227.77,12,SMAT,,TRP202239,Short,
12:47:55,FB,SS,228.02,13,SMAT,,TRP202239,Short,
12:49:46,FB,SS,227.04,25,SMAT,,TRP202239,Short,
12:51:18,FB,B,227.65,25,SMAT,,TRP202239,Margin,
12:52:03,FB,B,227.6,25,SMAT,,TRP202239,Margin,
12:54:12,FB,SS,227.72,25,SMAT,,TRP202239,Short,
12:56:09,FB,SS,227.36,25,SMAT,,TRP202239,Short,
12:57:05,FB,B,227.07,25,SMAT,,TRP202239,Margin,
12:57:18,FB,SS,226.81,25,SMAT,,TRP202239,Short,
12:58:43,FB,B,227.03,25,SMAT,,TRP202239,Margin,
12:59:51,FB,B,226.92,25,SMAT,,TRP202239,Margin,
13:00:42,FB,SS,226.57,25,SMAT,,TRP202239,Short,
13:03:38,FB,B,227.16,25,SMAT,,TRP202239,Margin,
13:06:03,FB,SS,227.47,12,SMAT,,TRP202239,Short,
13:06:12,FB,SS,227.69,13,SMAT,,TRP202239,Short,
13:10:08,FB,SS,228.22,25,SMAT,,TRP202239,Short,
13:10:41,FB,B,228.55,25,SMAT,,TRP202239,Margin,
13:10:46,FB,B,228.62,25,SMAT,,TRP202239,Margin,
13:13:10,FB,SS,228.08,25,SMAT,,TRP202239,Short,
13:16:23,FB,B,228.59,25,SMAT,,TRP202239,Margin,
13:17:47,FB,SS,228.09,25,SMAT,,TRP202239,Short,
13:18:35,FB,SS,227.9,25,SMAT,,TRP202239,Short,
13:18:43,FB,B,227.71,12,SMAT,,TRP202239,Margin,
13:19:09,FB,B,227.98,13,SMAT,,TRP202239,Margin,
