order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,AMD,50,57.81,SMAT,12:34:00,0,-29.62,-49.62,17
Sell,AMD,50,57.7,SMAT,12:34:40,-5.5,0,0,0
Buy,AMD,50,57.53,SMAT,12:35:21,0,0,0,0
Sell,AMD,50,57.44,SMAT,12:35:31,-4.5,0,0,0
Sell,AMD,50,57.37,SMAT,12:35:39,0,0,0,0
Buy,AMD,50,57.46,SMAT,12:36:17,-4.5,0,0,0
Buy,AMD,50,58.15,SMAT,12:40:07,0,0,0,0
Sell,AMD,12,58.23,SMAT,12:40:23,0.96,0,0,0
Sell,AMD,38,58.34,SMAT,12:40:41,7.22,0,0,0
Buy,AMD,50,58.33,SMAT,12:43:56,0,0,0,0
Sell,AMD,50,58.23,SMAT,12:44:54,-5,0,0,0
Sell,AMD,50,58.12,SMAT,12:45:17,0,0,0,0
Buy,AMD,50,58.11,SMAT,12:45:59,0.5,0,0,0
Buy,AMD,50,58.18,SMAT,12:46:57,0,0,0,0
Sell,AMD,50,58.05,SMAT,12:47:17,-6.5,0,0,0
Buy,AMD,50,58.19,SMAT,12:49:06,0,0,0,0
Sell,AMD,25,58.29,SMAT,12:49:43,2.5,0,0,0
Sell,AMD,25,58.09,SMAT,12:50:30,-2.5,0,0,0
Buy,AMD,50,58.16,SMAT,12:50:38,0,0,0,0
Sell,AMD,12,58.32,SMAT,12:51:09,1.92,0,0,0
Sell,AMD,19,58.43,SMAT,12:51:32,5.13,0,0,0
Sell,AMD,19,58.39,SMAT,12:51:35,4.37,0,0,0
Sell,AMD,50,58.12,SMAT,12:54:49,0,0,0,0
Buy,AMD,50,58.13,SMAT,12:55:58,-0.5,0,0,0
Buy,AMD,50,58.23,SMAT,12:56:55,0,0,0,0
Sell,AMD,50,58.12,SMAT,12:57:12,-5.5,0,0,0
Buy,AMD,50,58.18,SMAT,12:57:48,0,0,0,0
Sell,AMD,50,58.1,SMAT,12:58:02,-4,0,0,0
Buy,AMD,50,58.24,SMAT,12:58:20,0,0,0,0
Sell,AMD,12,58.34,SMAT,12:58:47,1.2,0,0,0
Sell,AMD,9,58.42,SMAT,13:00:01,1.62,0,0,0
Sell,AMD,14,58.53,SMAT,13:02:16,4.06,0,0,0
Sell,AMD,15,58.5,SMAT,13:02:34,3.9,0,0,0
Buy,AMD,50,59,SMAT,13:06:21,0,0,0,0
Sell,AMD,50,58.96,SMAT,13:06:38,-2,0,0,0
Buy,AMD,50,58.98,SMAT,13:09:00,0,0,0,0
Sell,AMD,50,58.81,SMAT,13:11:07,-8.5,0,0,0
Sell,AMD,50,58.68,SMAT,13:12:14,0,0,0,0
Buy,AMD,50,58.79,SMAT,13:12:53,-5.5,0,0,0
Sell,AMD,50,58.65,SMAT,13:14:17,0,0,0,0
Buy,AMD,50,58.82,SMAT,13:14:34,-8.5,0,0,0
