order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,AAL,100,15,SMAT,12:33:54,0,35.54,22.54,9
Sell,AAL,24,15.09,SMAT,12:34:50,2.16,0,0,0
Sell,AAL,38,15.19,SMAT,12:37:10,7.22,0,0,0
Sell,AAL,38,15.31,SMAT,12:37:30,11.78,0,0,0
Buy,AAL,100,15.21,SMAT,12:40:24,0,0,0,0
Sell,AAL,100,15.12,SMAT,12:41:01,-9,0,0,0
Buy,AAL,100,15.14,SMAT,12:42:25,0,0,0,0
Sell,AAL,25,15.29,SMAT,12:43:37,3.75,0,0,0
Sell,AAL,37,15.38,SMAT,12:45:11,8.88,0,0,0
Sell,AAL,19,15.49,SMAT,12:45:51,6.65,0,0,0
Sell,AAL,19,15.59,SMAT,12:46:14,8.55,0,0,0
Sell,AAL,100,15.36,SMAT,12:50:07,0,0,0,0
Buy,AAL,50,15.26,SMAT,12:50:18,5,0,0,0
Buy,AAL,50,15.26,SMAT,12:50:58,5,0,0,0
Buy,AAL,100,15.28,SMAT,12:53:19,0,0,0,0
Sell,AAL,25,15.41,SMAT,12:54:36,3.25,0,0,0
Sell,AAL,18,15.48,SMAT,12:57:26,3.6,0,0,0
Sell,AAL,57,15.32,SMAT,12:59:12,2.28,0,0,0
Buy,AAL,100,15.48,SMAT,13:00:28,0,0,0,0
Sell,AAL,100,15.39,SMAT,13:02:05,-9,0,0,0
Sell,AAL,100,15.31,SMAT,13:02:47,0,0,0,0
Buy,AAL,100,15.38,SMAT,13:03:18,-7,0,0,0
Sell,AAL,100,15.25,SMAT,13:05:05,0,0,0,0
Buy,AAL,100,15.31,SMAT,13:10:58,-6,0,0,0
Buy,AAL,100,15.4,SMAT,13:12:53,0,0,0,0
Sell,AAL,25,15.49,SMAT,13:19:07,2.25,0,0,0
Sell,AAL,75,15.49,SMAT,13:20:46,6.75,0,0,0
