order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,MRNA,50,66.0,SMAT,12:33:16,0.0,14.5,6.5,6
Sell,MRNA,12,66.39,SMAT,12:33:32,4.68,0.0,0.0,0
Sell,MRNA,38,66.0,SMAT,12:34:02,0.0,0.0,0.0,0
Sell,MRNA,50,65.36,SMAT,12:38:23,0.0,0.0,0.0,0
Buy,MRNA,25,64.7,SMAT,12:38:34,16.5,0.0,0.0,0
Buy,MRNA,25,64.64,SMAT,12:38:48,18.0,0.0,0.0,0
Sell,MRNA,50,64.81,SMAT,12:39:46,0.0,0.0,0.0,0
Buy,MRNA,50,65.05,SMAT,12:39:58,-12.0,0.0,0.0,0
Sell,MRNA,50,64.8,SMAT,12:40:01,0.0,0.0,0.0,0
Buy,MRNA,12,64.57,SMAT,12:40:17,2.76,0.0,0.0,0
Buy,MRNA,38,64.63,SMAT,12:40:19,6.46,0.0,0.0,0
Sell,MRNA,50,64.43,SMAT,12:42:14,0.0,0.0,0.0,0
Buy,MRNA,50,64.8,SMAT,12:43:14,-18.5,0.0,0.0,0
Sell,MRNA,50,63.9,SMAT,12:45:49,0.0,0.0,0.0,0
Buy,MRNA,12,63.74,SMAT,12:46:17,1.92,0.0,0.0,0
Buy,MRNA,38,64.04,SMAT,12:46:35,-5.32,0.0,0.0,0
