Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:33:16,MRNA,B,66,50,SMAT,,TRP204102,Margin,
12:33:32,MRNA,SS,66.39,12,SMAT,,TRP204102,Short,
12:34:02,MRNA,SS,66,38,SMAT,,TRP204102,Short,
12:38:23,MRNA,SS,65.36,50,SMAT,,TRP204102,Short,
12:38:34,MRNA,B,64.7,25,SMAT,,TRP204102,Margin,
12:38:48,MRNA,B,64.64,25,SMAT,,TRP204102,Margin,
12:39:46,MRNA,SS,64.81,50,SMAT,,TRP204102,Short,
12:39:58,MRNA,B,65.05,50,SMAT,,TRP204102,Margin,
12:40:01,MRNA,SS,64.8,50,SMAT,,TRP204102,Short,
12:40:17,MRNA,B,64.57,12,SMAT,,TRP204102,Margin,
12:40:19,MRNA,B,64.63,38,SMAT,,TRP204102,Margin,
12:42:14,MRNA,SS,64.43,50,SMAT,,TRP204102,Short,
12:43:14,MRNA,B,64.8,50,SMAT,,TRP204102,Margin,
12:45:49,MRNA,SS,63.9,50,SMAT,,TRP204102,Short,
12:46:17,MRNA,B,63.74,12,SMAT,,TRP204102,Margin,
12:46:35,MRNA,B,64.04,38,SMAT,,TRP204102,Margin,
