Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:31:58,IQ,SS,25.69,100,SMAT,,TRP204102,Short,
12:32:09,IQ,B,25.52,25,SMAT,,TRP204102,Margin,
12:33:04,IQ,B,25.41,18,SMAT,,TRP204102,Margin,
12:33:10,IQ,B,25.49,57,SMAT,,TRP204102,Margin,
12:36:56,IQ,SS,25.01,100,SMAT,,TRP204102,Short,
12:37:17,IQ,B,25.04,100,SMAT,,TRP204102,Margin,
12:40:26,IQ,SS,24.63,100,SMAT,,TRP204102,Short,
12:41:19,IQ,B,24.73,100,SMAT,,TRP204102,Margin,
12:44:06,IQ,B,25.1,100,SMAT,,TRP204102,Margin,
12:44:57,IQ,SS,24.83,100,SMAT,,TRP204102,Short,
12:45:27,IQ,B,25.09,100,SMAT,,TRP204102,Margin,
12:45:55,IQ,SS,24.88,100,SMAT,,TRP204102,Short,
