order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl
Buy,ZM,20,210.37,SMAT,12:30:01,0,-225.1,-258.1
Sell,ZM,20,209,SMAT,12:30:20,-27.4,0,0
Buy,ZM,20,210.83,SMAT,12:30:40,0,0,0
Sell,ZM,20,211.71,SMAT,12:30:51,17.6,0,0
Buy,ZM,20,211.64,SMAT,12:31:17,0,0,0
Sell,ZM,20,210.35,SMAT,12:32:22,-25.8,0,0
Sell,ZM,20,209.11,SMAT,12:33:05,0,0,0
Buy,ZM,20,208.66,SMAT,12:33:19,9,0,0
Sell,ZM,20,208.07,SMAT,12:33:48,0,0,0
Buy,ZM,20,208.93,SMAT,12:34:14,-17.2,0,0
Buy,ZM,20,208.63,SMAT,12:35:05,0,0,0
Sell,ZM,20,207.74,SMAT,12:35:23,-17.8,0,0
Buy,ZM,20,207.84,SMAT,12:36:41,0,0,0
Sell,ZM,20,206.36,SMAT,12:36:49,-29.6,0,0
Sell,ZM,20,205.6,SMAT,12:37:01,0,0,0
Buy,ZM,20,206.36,SMAT,12:37:16,-15.2,0,0
Sell,ZM,20,205.25,SMAT,12:37:42,0,0,0
Buy,ZM,20,204.44,SMAT,12:38:09,16.2,0,0
Buy,ZM,20,205.27,SMAT,12:38:21,0,0,0
Sell,ZM,20,206,SMAT,12:38:32,14.6,0,0
Sell,ZM,20,206.51,SMAT,12:40:21,0,0,0
Buy,ZM,20,207.49,SMAT,12:40:33,-19.6,0,0
Buy,ZM,20,208,SMAT,12:40:46,0,0,0
Sell,ZM,20,207.3,SMAT,12:42:23,-14,0,0
Buy,ZM,20,208.94,SMAT,12:43:05,0,0,0
Sell,ZM,20,209.23,SMAT,12:43:13,5.8,0,0
Buy,ZM,20,211,SMAT,12:44:54,0,0,0
Sell,ZM,20,209.21,SMAT,12:46:58,-35.8,0,0
Sell,ZM,20,209,SMAT,12:47:59,0,0,0
Buy,ZM,10,208.24,SMAT,12:49:02,7.6,0,0
Buy,ZM,10,209,SMAT,12:49:51,0,0,0
Sell,ZM,20,208.05,SMAT,12:50:07,0,0,0
Buy,ZM,20,209.14,SMAT,12:51:15,-21.8,0,0
Sell,ZM,20,208.35,SMAT,12:52:13,0,0,0
Buy,ZM,20,209,SMAT,12:52:28,-13,0,0
Buy,ZM,20,209.5,SMAT,12:53:25,0,0,0
Sell,ZM,20,209.02,SMAT,12:53:39,-9.6,0,0
Sell,ZM,20,208.55,SMAT,12:54:10,0,0,0
Buy,ZM,20,208.15,SMAT,12:54:14,8,0,0
Sell,ZM,20,208.02,SMAT,12:54:50,0,0,0
Buy,ZM,10,207.27,SMAT,12:55:30,7.5,0,0
Buy,ZM,10,207.46,SMAT,12:55:41,5.6,0,0
Sell,ZM,20,206.5,SMAT,12:56:23,0,0,0
Buy,ZM,20,207.99,SMAT,12:56:57,-29.8,0,0
Sell,ZM,20,207.17,SMAT,12:57:44,0,0,0
Buy,ZM,20,207.42,SMAT,12:58:38,-5,0,0
Sell,ZM,20,206.25,SMAT,13:02:24,0,0,0
Buy,ZM,20,207.5,SMAT,13:04:13,-25,0,0
Sell,ZM,20,206.2,SMAT,13:04:39,0,0,0
Buy,ZM,20,205.77,SMAT,13:05:29,8.6,0,0
Sell,ZM,20,205.77,SMAT,13:05:48,0,0,0
Buy,ZM,20,207.2,SMAT,13:07:46,-28.6,0,0
Sell,ZM,20,206.71,SMAT,13:08:32,0,0,0
Buy,ZM,20,206.47,SMAT,13:09:39,4.8,0,0
Sell,ZM,20,206.4,SMAT,13:11:03,0,0,0
Buy,ZM,20,205.86,SMAT,13:11:13,10.8,0,0
Sell,ZM,20,205,SMAT,13:13:02,0,0,0
Buy,ZM,20,205.45,SMAT,13:13:18,-9,0,0
Buy,ZM,20,205.32,SMAT,13:14:07,0,0,0
Sell,ZM,20,205.39,SMAT,13:14:09,1.4,0,0
Buy,ZM,20,205.95,SMAT,13:15:26,0,0,0
Sell,ZM,20,206.38,SMAT,13:16:56,8.6,0,0
Sell,ZM,20,205.89,SMAT,13:17:28,0,0,0
Buy,ZM,20,206.45,SMAT,13:18:06,-11.2,0,0
Buy,ZM,20,206.83,SMAT,13:18:09,0,0,0
Sell,ZM,20,207.04,SMAT,13:20:10,4.2,0,0
