Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:01,ZM,B,210.37,20,SMAT,,TRP202239,Margin,
12:30:20,ZM,SS,209,20,SMAT,,TRP202239,Short,
12:30:40,ZM,B,210.83,20,SMAT,,TRP202239,Margin,
12:30:51,ZM,SS,211.71,20,SMAT,,TRP202239,Short,
12:31:17,ZM,B,211.64,20,SMAT,,TRP202239,Margin,
12:32:22,ZM,SS,210.35,20,SMAT,,TRP202239,Short,
12:33:05,ZM,SS,209.11,20,SMAT,,TRP202239,Short,
12:33:19,ZM,B,208.66,20,SMAT,,TRP202239,Margin,
12:33:48,ZM,SS,208.07,20,SMAT,,TRP202239,Short,
12:34:14,ZM,B,208.93,20,SMAT,,TRP202239,Margin,
12:35:05,ZM,B,208.63,20,SMAT,,TRP202239,Margin,
12:35:23,ZM,SS,207.74,20,SMAT,,TRP202239,Short,
12:36:41,ZM,B,207.84,20,SMAT,,TRP202239,Margin,
12:36:49,ZM,SS,206.36,20,SMAT,,TRP202239,Short,
12:37:01,ZM,SS,205.6,20,SMAT,,TRP202239,Short,
12:37:16,ZM,B,206.36,20,SMAT,,TRP202239,Margin,
12:37:42,ZM,SS,205.25,20,SMAT,,TRP202239,Short,
12:38:09,ZM,B,204.44,20,SMAT,,TRP202239,Margin,
12:38:21,ZM,B,205.27,20,SMAT,,TRP202239,Margin,
12:38:32,ZM,SS,206,20,SMAT,,TRP202239,Short,
12:40:21,ZM,SS,206.51,20,SMAT,,TRP202239,Short,
12:40:33,ZM,B,207.49,20,SMAT,,TRP202239,Margin,
12:40:46,ZM,B,208,20,SMAT,,TRP202239,Margin,
12:42:23,ZM,SS,207.3,20,SMAT,,TRP202239,Short,
12:43:05,ZM,B,208.94,20,SMAT,,TRP202239,Margin,
12:43:13,ZM,SS,209.23,20,SMAT,,TRP202239,Short,
12:44:54,ZM,B,211,20,SMAT,,TRP202239,Margin,
12:46:58,ZM,SS,209.21,20,SMAT,,TRP202239,Short,
12:47:59,ZM,SS,209,20,SMAT,,TRP202239,Short,
12:49:02,ZM,B,208.24,10,SMAT,,TRP202239,Margin,
12:49:51,ZM,B,209,10,SMAT,,TRP202239,Margin,
12:50:07,ZM,SS,208.05,20,SMAT,,TRP202239,Short,
12:51:15,ZM,B,209.14,20,SMAT,,TRP202239,Margin,
12:52:13,ZM,SS,208.35,20,SMAT,,TRP202239,Short,
12:52:28,ZM,B,209,20,SMAT,,TRP202239,Margin,
12:53:25,ZM,B,209.5,20,SMAT,,TRP202239,Margin,
12:53:39,ZM,SS,209.02,20,SMAT,,TRP202239,Short,
12:54:10,ZM,SS,208.55,20,SMAT,,TRP202239,Short,
12:54:14,ZM,B,208.15,20,SMAT,,TRP202239,Margin,
12:54:50,ZM,SS,208.02,20,SMAT,,TRP202239,Short,
12:55:30,ZM,B,207.27,10,SMAT,,TRP202239,Margin,
12:55:41,ZM,B,207.46,10,SMAT,,TRP202239,Margin,
12:56:23,ZM,SS,206.5,20,SMAT,,TRP202239,Short,
12:56:57,ZM,B,207.99,20,SMAT,,TRP202239,Margin,
12:57:44,ZM,SS,207.17,20,SMAT,,TRP202239,Short,
12:58:38,ZM,B,207.42,20,SMAT,,TRP202239,Margin,
13:02:24,ZM,SS,206.25,20,SMAT,,TRP202239,Short,
13:04:13,ZM,B,207.5,20,SMAT,,TRP202239,Margin,
13:04:39,ZM,SS,206.2,20,SMAT,,TRP202239,Short,
13:05:29,ZM,B,205.77,20,SMAT,,TRP202239,Margin,
13:05:48,ZM,SS,205.77,20,SMAT,,TRP202239,Short,
13:07:46,ZM,B,207.2,20,SMAT,,TRP202239,Margin,
13:08:32,ZM,SS,206.71,20,SMAT,,TRP202239,Short,
13:09:39,ZM,B,206.47,20,SMAT,,TRP202239,Margin,
13:11:03,ZM,SS,206.4,20,SMAT,,TRP202239,Short,
13:11:13,ZM,B,205.86,20,SMAT,,TRP202239,Margin,
13:13:02,ZM,SS,205,20,SMAT,,TRP202239,Short,
13:13:18,ZM,B,205.45,20,SMAT,,TRP202239,Margin,
13:14:07,ZM,B,205.32,20,SMAT,,TRP202239,Margin,
13:14:09,ZM,SS,205.39,20,SMAT,,TRP202239,Short,
13:15:26,ZM,B,205.95,20,SMAT,,TRP202239,Margin,
13:16:56,ZM,SS,206.38,20,SMAT,,TRP202239,Short,
13:17:28,ZM,SS,205.89,20,SMAT,,TRP202239,Short,
13:18:06,ZM,B,206.45,20,SMAT,,TRP202239,Margin,
13:18:09,ZM,B,206.83,20,SMAT,,TRP202239,Margin,
13:20:10,ZM,SS,207.04,20,SMAT,,TRP202239,Short,
