order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Sell,WKHS,40,11.85,SMAT,12:30:55,0,-35.55,-56.55,17
Buy,WKHS,10,11.73,SMAT,12:31:09,1.2,0,0,0
Buy,WKHS,30,11.67,SMAT,12:31:12,5.4,0,0,0
Sell,WKHS,40,11.6,SMAT,12:45:36,0,0,0,0
Buy,WKHS,40,11.75,SMAT,12:46:29,-6,0,0,0
Buy,WKHS,40,11.87,SMAT,12:47:01,0,0,0,0
Sell,WKHS,40,11.7,SMAT,12:47:53,-6.8,0,0,0
Sell,WKHS,40,11.64,SMAT,12:51:23,0,0,0,0
Buy,WKHS,10,11.5,SMAT,12:51:28,1.4,0,0,0
Buy,WKHS,30,11.63,SMAT,12:52:07,0.3,0,0,0
Sell,WKHS,40,11.67,SMAT,12:53:09,0,0,0,0
Buy,WKHS,40,11.76,SMAT,12:53:16,-3.6,0,0,0
Buy,WKHS,40,11.9,SMAT,12:53:28,0,0,0,0
Sell,WKHS,20,12.1,SMAT,12:54:45,4,0,0,0
Sell,WKHS,20,12,SMAT,12:55:11,2,0,0,0
Buy,WKHS,40,12.22,SMAT,12:56:29,0,0,0,0
Sell,WKHS,20,12.25,SMAT,12:56:46,0.6,0,0,0
Sell,WKHS,20,12.31,SMAT,12:57:01,1.8,0,0,0
Sell,WKHS,40,12.1,SMAT,12:58:34,0,0,0,0
Buy,WKHS,40,12.23,SMAT,12:58:38,-5.2,0,0,0
Sell,WKHS,40,12.14,SMAT,13:00:11,0,0,0,0
Buy,WKHS,40,12.3,SMAT,13:00:35,-6.4,0,0,0
Buy,WKHS,40,12.4,SMAT,13:00:54,0,0,0,0
Sell,WKHS,10,12.39,SMAT,13:02:09,-0.1,0,0,0
Sell,WKHS,15,12.55,SMAT,13:02:11,2.25,0,0,0
Sell,WKHS,15,12.76,SMAT,13:02:26,5.4,0,0,0
Buy,WKHS,40,12.84,SMAT,13:03:13,0,0,0,0
Sell,WKHS,20,13,SMAT,13:03:30,3.2,0,0,0
Sell,WKHS,20,13.09,SMAT,13:03:56,5,0,0,0
Sell,WKHS,40,12.64,SMAT,13:05:54,0,0,0,0
Buy,WKHS,40,12.88,SMAT,13:06:02,-9.6,0,0,0
Sell,WKHS,40,12.79,SMAT,13:06:08,0,0,0,0
Buy,WKHS,40,13.04,SMAT,13:06:37,-10,0,0,0
Buy,WKHS,40,13.14,SMAT,13:09:17,0,0,0,0
Sell,WKHS,40,12.95,SMAT,13:09:18,-7.6,0,0,0
Buy,WKHS,40,13.09,SMAT,13:09:32,0,0,0,0
Sell,WKHS,20,13.22,SMAT,13:10:20,2.6,0,0,0
Sell,WKHS,20,13,SMAT,13:10:35,-1.8,0,0,0
Sell,WKHS,40,12.8,SMAT,13:11:02,0,0,0,0
Buy,WKHS,40,13,SMAT,13:11:19,-8,0,0,0
Sell,WKHS,40,12.8,SMAT,13:16:17,0,0,0,0
Buy,WKHS,40,12.94,SMAT,13:16:36,-5.6,0,0,0
