Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:55,WKHS,SS,11.85,40,SMAT,,TRP204102,Short,
12:31:09,WKHS,B,11.73,10,SMAT,,TRP204102,Margin,
12:31:12,WKHS,B,11.67,30,SMAT,,TRP204102,Margin,
12:45:36,WKHS,SS,11.6,40,SMAT,,TRP204102,Short,
12:46:29,WKHS,B,11.75,40,SMAT,,TRP204102,Margin,
12:47:01,WKHS,B,11.87,40,SMAT,,TRP204102,Margin,
12:47:53,WKHS,SS,11.7,40,SMAT,,TRP204102,Short,
12:51:23,WKHS,SS,11.64,40,SMAT,,TRP204102,Short,
12:51:28,WKHS,B,11.5,10,SMAT,,TRP204102,Margin,
12:52:07,WKHS,B,11.63,30,SMAT,,TRP204102,Margin,
12:53:09,WKHS,SS,11.67,40,SMAT,,TRP204102,Short,
12:53:16,WKHS,B,11.76,40,SMAT,,TRP204102,Margin,
12:53:28,WKHS,B,11.9,40,SMAT,,TRP204102,Margin,
12:54:45,WKHS,SS,12.1,20,SMAT,,TRP204102,Short,
12:55:11,WKHS,SS,12,20,SMAT,,TRP204102,Short,
12:56:29,WKHS,B,12.22,40,SMAT,,TRP204102,Margin,
12:56:46,WKHS,SS,12.25,20,SMAT,,TRP204102,Short,
12:57:01,WKHS,SS,12.31,20,SMAT,,TRP204102,Short,
12:58:34,WKHS,SS,12.1,40,SMAT,,TRP204102,Short,
12:58:38,WKHS,B,12.23,40,SMAT,,TRP204102,Margin,
13:00:11,WKHS,SS,12.14,40,SMAT,,TRP204102,Short,
13:00:35,WKHS,B,12.3,40,SMAT,,TRP204102,Margin,
13:00:54,WKHS,B,12.4,40,SMAT,,TRP204102,Margin,
13:02:09,WKHS,SS,12.39,10,SMAT,,TRP204102,Short,
13:02:11,WKHS,SS,12.55,15,SMAT,,TRP204102,Short,
13:02:26,WKHS,SS,12.76,15,SMAT,,TRP204102,Short,
13:03:13,WKHS,B,12.84,40,SMAT,,TRP204102,Margin,
13:03:30,WKHS,SS,13,20,SMAT,,TRP204102,Short,
13:03:56,WKHS,SS,13.09,20,SMAT,,TRP204102,Short,
13:05:54,WKHS,SS,12.64,40,SMAT,,TRP204102,Short,
13:06:02,WKHS,B,12.88,40,SMAT,,TRP204102,Margin,
13:06:08,WKHS,SS,12.79,40,SMAT,,TRP204102,Short,
13:06:37,WKHS,B,13.04,40,SMAT,,TRP204102,Margin,
13:09:17,WKHS,B,13.14,40,SMAT,,TRP204102,Margin,
13:09:18,WKHS,SS,12.95,40,SMAT,,TRP204102,Short,
13:09:32,WKHS,B,13.09,40,SMAT,,TRP204102,Margin,
13:10:20,WKHS,SS,13.22,20,SMAT,,TRP204102,Short,
13:10:35,WKHS,SS,13,20,SMAT,,TRP204102,Short,
13:11:02,WKHS,SS,12.8,40,SMAT,,TRP204102,Short,
13:11:19,WKHS,B,13,40,SMAT,,TRP204102,Margin,
13:16:17,WKHS,SS,12.8,40,SMAT,,TRP204102,Short,
13:16:36,WKHS,B,12.94,40,SMAT,,TRP204102,Margin,
