order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl
Buy,UAL,100,30.89,SMAT,12:32:06,0,4,-25
Sell,UAL,100,30.74,SMAT,12:32:28,-15,0,0
Sell,UAL,100,30.62,SMAT,12:33:16,0,0,0
Buy,UAL,100,30.8,SMAT,12:33:52,-18,0,0
Sell,UAL,100,30.64,SMAT,12:36:06,0,0,0
Buy,UAL,100,30.41,SMAT,12:37:41,23,0,0
Buy,UAL,100,30.71,SMAT,12:40:02,0,0,0
Sell,UAL,100,30.59,SMAT,12:41:54,-12,0,0
Buy,UAL,100,30.71,SMAT,12:44:48,0,0,0
Sell,UAL,100,30.7,SMAT,12:44:52,-1,0,0
Buy,UAL,100,30.73,SMAT,12:45:28,0,0,0
Sell,UAL,100,30.87,SMAT,12:46:03,14,0,0
Sell,UAL,100,30.89,SMAT,12:49:57,0,0,0
Buy,UAL,100,30.95,SMAT,12:50:08,-6,0,0
Sell,UAL,100,30.94,SMAT,12:51:04,0,0,0
Buy,UAL,100,31,SMAT,12:51:40,-6,0,0
Sell,UAL,100,31.03,SMAT,12:54:03,0,0,0
Buy,UAL,100,31.12,SMAT,12:54:56,-9,0,0
Buy,UAL,100,31.27,SMAT,13:00:29,0,0,0
Sell,UAL,100,31.25,SMAT,13:02:09,-2,0,0
Sell,UAL,100,31.41,SMAT,13:04:10,0,0,0
Buy,UAL,100,31.45,SMAT,13:04:17,-4,0,0
Buy,UAL,100,31.54,SMAT,13:05:51,0,0,0
Sell,UAL,100,31.59,SMAT,13:06:13,5,0,0
Sell,UAL,100,31.6,SMAT,13:08:35,0,0,0
Buy,UAL,100,31.51,SMAT,13:10:10,9,0,0
Buy,UAL,100,31.51,SMAT,13:11:26,0,0,0
Sell,UAL,100,31.65,SMAT,13:12:19,14,0,0
Sell,UAL,100,31.5,SMAT,13:16:20,0,0,0
Buy,UAL,100,31.55,SMAT,13:17:01,-5,0,0
Sell,UAL,100,31.5,SMAT,13:17:07,0,0,0
Buy,UAL,100,31.55,SMAT,13:17:21,-5,0,0
Sell,UAL,100,31.5,SMAT,13:18:08,0,0,0
Buy,UAL,100,31.39,SMAT,13:18:35,11,0,0
Buy,UAL,100,31.46,SMAT,13:20:04,0,0,0
Sell,UAL,100,31.53,SMAT,13:20:45,7,0,0
Buy,UAL,100,31.56,SMAT,13:21:04,0,0,0
Sell,UAL,100,31.5,SMAT,13:23:03,-6,0,0
Sell,UAL,100,31.48,SMAT,13:23:55,0,0,0
Buy,UAL,100,31.52,SMAT,13:24:37,-4,0,0
Buy,UAL,100,31.57,SMAT,13:25:08,0,0,0
Sell,UAL,100,31.69,SMAT,13:25:50,12,0,0
Buy,UAL,100,31.77,SMAT,13:29:34,0,0,0
Sell,UAL,100,31.82,SMAT,13:29:53,5,0,0
Sell,UAL,100,31.79,SMAT,13:31:04,0,0,0
Buy,UAL,100,31.84,SMAT,13:31:18,-5,0,0
Buy,UAL,100,31.88,SMAT,13:31:48,0,0,0
Sell,UAL,100,31.94,SMAT,13:32:23,6,0,0
Sell,UAL,100,31.93,SMAT,13:33:11,0,0,0
Buy,UAL,100,31.92,SMAT,13:34:26,1,0,0
Buy,UAL,100,31.91,SMAT,13:35:09,0,0,0
Sell,UAL,100,31.89,SMAT,13:39:17,-2,0,0
Sell,UAL,100,31.85,SMAT,13:39:25,0,0,0
Buy,UAL,100,31.9,SMAT,13:39:34,-5,0,0
Sell,UAL,100,31.84,SMAT,13:39:49,0,0,0
Buy,UAL,100,31.87,SMAT,13:40:10,-3,0,0
Sell,UAL,100,31.84,SMAT,13:40:16,0,0,0
Buy,UAL,100,31.79,SMAT,13:41:15,5,0,0
