order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,AAL,100,12.91,SMAT,12:32:16,0,45.84,33.84,8
Sell,AAL,50,12.98,SMAT,12:33:02,3.5,0,0,0
Sell,AAL,50,12.91,SMAT,12:33:23,0,0,0,0
Buy,AAL,100,12.97,SMAT,12:34:02,0,0,0,0
Sell,AAL,50,13.09,SMAT,12:34:38,6,0,0,0
Sell,AAL,25,13.2,SMAT,12:35:00,5.75,0,0,0
Sell,AAL,12,13.23,SMAT,12:35:18,3.12,0,0,0
Sell,AAL,13,13.16,SMAT,12:35:24,2.47,0,0,0
Sell,AAL,100,13.11,SMAT,12:36:53,0,0,0,0
Buy,AAL,100,13.14,SMAT,12:39:16,-3,0,0,0
Sell,AAL,100,13.05,SMAT,12:40:05,0,0,0,0
Buy,AAL,25,12.93,SMAT,12:40:23,3,0,0,0
Buy,AAL,75,13,SMAT,12:40:38,3.75,0,0,0
Buy,AAL,100,12.99,SMAT,12:41:08,0,0,0,0
Sell,AAL,25,13.09,SMAT,12:43:23,2.5,0,0,0
Sell,AAL,75,13,SMAT,12:44:08,0.75,0,0,0
Buy,AAL,100,12.99,SMAT,12:44:35,0,0,0,0
Sell,AAL,100,12.96,SMAT,12:45:22,-3,0,0,0
Sell,AAL,100,12.94,SMAT,12:45:42,0,0,0,0
Buy,AAL,25,12.86,SMAT,12:46:12,2,0,0,0
Buy,AAL,75,12.87,SMAT,12:46:21,5.25,0,0,0
Buy,AAL,100,13.04,SMAT,12:50:52,0,0,0,0
Sell,AAL,25,13.14,SMAT,12:52:34,2.5,0,0,0
Sell,AAL,37,13.19,SMAT,12:53:38,5.55,0,0,0
Sell,AAL,38,13.19,SMAT,12:55:00,5.7,0,0,0
