Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:32:16,AAL,B,12.91,100,SMAT,,TRP202239,Margin,
12:33:02,AAL,SS,12.98,50,SMAT,,TRP202239,Short,
12:33:23,AAL,SS,12.91,50,SMAT,,TRP202239,Short,
12:34:02,AAL,B,12.97,100,SMAT,,TRP202239,Margin,
12:34:38,AAL,SS,13.09,50,SMAT,,TRP202239,Short,
12:35:00,AAL,SS,13.2,25,SMAT,,TRP202239,Short,
12:35:18,AAL,SS,13.23,12,SMAT,,TRP202239,Short,
12:35:24,AAL,SS,13.16,13,SMAT,,TRP202239,Short,
12:36:53,AAL,SS,13.11,100,SMAT,,TRP202239,Short,
12:39:16,AAL,B,13.14,100,SMAT,,TRP202239,Margin,
12:40:05,AAL,SS,13.05,100,SMAT,,TRP202239,Short,
12:40:23,AAL,B,12.93,25,SMAT,,TRP202239,Margin,
12:40:38,AAL,B,13,75,SMAT,,TRP202239,Margin,
12:41:08,AAL,B,12.99,100,SMAT,,TRP202239,Margin,
12:43:23,AAL,SS,13.09,25,SMAT,,TRP202239,Short,
12:44:08,AAL,SS,13,75,SMAT,,TRP202239,Short,
12:44:35,AAL,B,12.99,100,SMAT,,TRP202239,Margin,
12:45:22,AAL,SS,12.96,100,SMAT,,TRP202239,Short,
12:45:42,AAL,SS,12.94,100,SMAT,,TRP202239,Short,
12:46:12,AAL,B,12.86,25,SMAT,,TRP202239,Margin,
12:46:21,AAL,B,12.87,75,SMAT,,TRP202239,Margin,
12:50:52,AAL,B,13.04,100,SMAT,,TRP202239,Margin,
12:52:34,AAL,SS,13.14,25,SMAT,,TRP202239,Short,
12:53:38,AAL,SS,13.19,37,SMAT,,TRP202239,Short,
12:55:00,AAL,SS,13.19,38,SMAT,,TRP202239,Short,
