order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Buy,UAL,100,35.98,SMAT,12:35:07,0,54.21,42.21,9
Sell,UAL,100,36.23,SMAT,12:35:43,25,0,0,0
Sell,UAL,100,35.68,SMAT,12:37:44,0,0,0,0
Buy,UAL,50,35.48,SMAT,12:38:12,10,0,0,0
Buy,UAL,50,35.57,SMAT,12:38:46,5.5,0,0,0
Buy,UAL,100,34.85,SMAT,12:43:39,0,0,0,0
Sell,UAL,100,34.55,SMAT,12:45:22,-30,0,0,0
Sell,UAL,100,34.5,SMAT,12:45:52,0,0,0,0
Buy,UAL,50,34.18,SMAT,12:46:18,16,0,0,0
Buy,UAL,50,34.43,SMAT,12:46:46,3.5,0,0,0
Sell,UAL,100,34.63,SMAT,12:48:32,0,0,0,0
Buy,UAL,50,34.4,SMAT,12:49:20,11.5,0,0,0
Buy,UAL,50,34.52,SMAT,12:49:55,5.5,0,0,0
Buy,UAL,100,34.73,SMAT,12:51:12,0,0,0,0
Sell,UAL,50,35.07,SMAT,12:52:30,17,0,0,0
Sell,UAL,25,35.18,SMAT,12:53:03,11.25,0,0,0
Sell,UAL,6,35.37,SMAT,12:54:37,3.84,0,0,0
Sell,UAL,19,35.21,SMAT,12:55:13,9.12,0,0,0
Buy,UAL,100,35.09,SMAT,12:56:03,0,0,0,0
Sell,UAL,100,35,SMAT,12:57:30,-9,0,0,0
Sell,UAL,100,34.89,SMAT,12:57:32,0,0,0,0
Buy,UAL,100,35.03,SMAT,12:57:58,-14,0,0,0
Sell,UAL,100,34.89,SMAT,12:58:15,0,0,0,0
Buy,UAL,100,35,SMAT,12:58:22,-11,0,0,0
