Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:35:07,UAL,B,35.98,100,SMAT,,TRP202239,Margin,
12:35:43,UAL,SS,36.23,100,SMAT,,TRP202239,Short,
12:37:44,UAL,SS,35.68,100,SMAT,,TRP202239,Short,
12:38:12,UAL,B,35.48,50,SMAT,,TRP202239,Margin,
12:38:46,UAL,B,35.57,50,SMAT,,TRP202239,Margin,
12:43:39,UAL,B,34.85,100,SMAT,,TRP202239,Margin,
12:45:22,UAL,SS,34.55,100,SMAT,,TRP202239,Short,
12:45:52,UAL,SS,34.5,100,SMAT,,TRP202239,Short,
12:46:18,UAL,B,34.18,50,SMAT,,TRP202239,Margin,
12:46:46,UAL,B,34.43,50,SMAT,,TRP202239,Margin,
12:48:32,UAL,SS,34.63,100,SMAT,,TRP202239,Short,
12:49:20,UAL,B,34.4,50,SMAT,,TRP202239,Margin,
12:49:55,UAL,B,34.52,50,SMAT,,TRP202239,Margin,
12:51:12,UAL,B,34.73,100,SMAT,,TRP202239,Margin,
12:52:30,UAL,SS,35.07,50,SMAT,,TRP202239,Short,
12:53:03,UAL,SS,35.18,25,SMAT,,TRP202239,Short,
12:54:37,UAL,SS,35.37,6,SMAT,,TRP202239,Short,
12:55:13,UAL,SS,35.21,19,SMAT,,TRP202239,Short,
12:56:03,UAL,B,35.09,100,SMAT,,TRP202239,Margin,
12:57:30,UAL,SS,35,100,SMAT,,TRP202239,Short,
12:57:32,UAL,SS,34.89,100,SMAT,,TRP202239,Short,
12:57:58,UAL,B,35.03,100,SMAT,,TRP202239,Margin,
12:58:15,UAL,SS,34.89,100,SMAT,,TRP202239,Short,
12:58:22,UAL,B,35,100,SMAT,,TRP202239,Margin,
