Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:31:11,AMD,B,53,50,SMAT,,TRP202239,Margin,
12:31:17,AMD,SS,53.14,50,SMAT,,TRP202239,Short,
12:34:04,AMD,B,53.1,50,SMAT,,TRP202239,Margin,
12:34:32,AMD,SS,53.18,25,SMAT,,TRP202239,Short,
12:35:00,AMD,SS,53.04,25,SMAT,,TRP202239,Short,
12:35:16,AMD,B,53.15,50,SMAT,,TRP202239,Margin,
12:36:22,AMD,SS,53.27,25,SMAT,,TRP202239,Short,
12:36:32,AMD,SS,53.37,25,SMAT,,TRP202239,Short,
12:39:29,AMD,SS,53.51,50,SMAT,,TRP202239,Short,
12:39:55,AMD,B,53.63,50,SMAT,,TRP202239,Margin,
12:43:58,AMD,B,54.4,50,SMAT,,TRP202239,Margin,
12:44:36,AMD,SS,54.42,50,SMAT,,TRP202239,Short,
12:45:07,AMD,B,54.44,50,SMAT,,TRP202239,Margin,
12:45:14,AMD,SS,54.45,50,SMAT,,TRP202239,Short,
12:45:47,AMD,B,54.64,50,SMAT,,TRP202239,Margin,
12:46:41,AMD,SS,54.67,50,SMAT,,TRP202239,Short,
12:46:47,AMD,B,54.74,50,SMAT,,TRP202239,Margin,
12:46:51,AMD,SS,54.69,50,SMAT,,TRP202239,Short,
12:47:22,AMD,SS,54.66,50,SMAT,,TRP202239,Short,
12:47:46,AMD,B,54.72,50,SMAT,,TRP202239,Margin,
12:47:57,AMD,B,54.81,50,SMAT,,TRP202239,Margin,
12:48:06,AMD,SS,54.9,25,SMAT,,TRP202239,Short,
12:48:23,AMD,SS,54.78,25,SMAT,,TRP202239,Short,
12:50:04,AMD,SS,54.75,50,SMAT,,TRP202239,Short,
12:51:02,AMD,B,54.72,50,SMAT,,TRP202239,Margin,
12:51:10,AMD,B,54.81,50,SMAT,,TRP202239,Margin,
12:51:37,AMD,SS,54.93,25,SMAT,,TRP202239,Short,
12:51:44,AMD,SS,55.03,25,SMAT,,TRP202239,Short,
12:52:46,AMD,B,54.98,50,SMAT,,TRP202239,Margin,
12:52:56,AMD,SS,54.89,50,SMAT,,TRP202239,Short,
12:54:09,AMD,B,55,50,SMAT,,TRP202239,Margin,
12:54:20,AMD,SS,55.09,50,SMAT,,TRP202239,Short,
